OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,OM_rec_R1_1990,OM_rec_R1_1991,OM_rec_R1_1992,OM_rec_R1_1993,OM_rec_R1_1994,OM_rec_R1_1995,OM_rec_R1_1996,OM_rec_R1_1997,OM_rec_R1_1998,OM_rec_R1_1999,OM_rec_R1_2000,OM_rec_R1_2001,OM_rec_R1_2002,OM_rec_R1_2003,OM_rec_R1_2004,OM_rec_R1_2005,OM_rec_R1_2006,OM_rec_R1_2007,OM_rec_R1_2008,OM_rec_R1_2009,OM_rec_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010,AM_rec_1990,AM_rec_1991,AM_rec_1992,AM_rec_1993,AM_rec_1994,AM_rec_1995,AM_rec_1996,AM_rec_1997,AM_rec_1998,AM_rec_1999,AM_rec_2000,AM_rec_2001,AM_rec_2002,AM_rec_2003,AM_rec_2004,AM_rec_2005,AM_rec_2006,AM_rec_2007,AM_rec_2008,AM_rec_2009,AM_rec_2010,SelLL_P1,SelLL_P2,SelLL_P3,Starting_AM_B0
57480.1052408897,57480.1052408897,57343.5324203124,56958.5030417071,56538.6395749552,56091.8482776258,55627.4385431379,55155.6274973093,54686.7744373528,54230.4593646135,53794.6327885846,53385.0692352768,53005.2361744772,52656.5260063298,52338.6965881638,52050.3633193553,51789.4433526929,51553.5112936936,51340.0593258452,51146.6694543098,50971.1120750253,50811.3896857828,1e+06,1e+06,999801.567682886,999237.450038753,998614.279448709,997941.769240065,997232.27261315,996500.292510911,995761.480957763,995031.237678094,994323.23957771,993648.308943047,993013.886545108,992424.116685704,991880.350882914,991381.828528932,990926.357299799,990510.901895119,990132.045840924,989786.320771351,989470.414541548,51971.9,51971.9,51575.3,51147.1,50692.4,50217.7,49731.1,49241.7,48758.7,48290.9,47845.4,47427.4,47040,46684.3,46359.8,46065,45794.5,45548.5,45324.7,45120.7,44934.3,44767.1,923404,923404,922813,922165,921466,920724,919950,919157,918361,917576,916815,916089,915406,914770,914182,913641,913140,912679,912255,911866,911508,0,0,0,0
57480.1052408897,57480.1052408897,57343.5324203124,56958.5030417071,56538.6395749552,56091.8482776258,55627.4385431379,55155.6274973093,54686.7744373528,54230.4593646135,53794.6327885846,53385.0692352768,53005.2361744772,52656.5260063298,52338.6965881638,52050.3633193553,51789.4433526929,51553.5112936936,51340.0593258452,51146.6694543098,50971.1120750253,50811.3896857828,1e+06,1e+06,999801.567682886,999237.450038753,998614.279448709,997941.769240065,997232.27261315,996500.292510911,995761.480957763,995031.237678094,994323.23957771,993648.308943047,993013.886545108,992424.116685704,991880.350882914,991381.828528932,990926.357299799,990510.901895119,990132.045840924,989786.320771351,989470.414541548,48750.3,48750.3,48353.7,47925.6,47470.9,46996.3,46509.9,46020.7,45538.2,45070.8,44625.8,44208.3,43821.3,43465.8,43141.5,42846.9,42576.2,42330.2,42106.2,41902,41715.4,41547.9,866166,866166,865574,864925,864225,863480,862703,861906,861104,860313,859546,858813,858122,857478,856882,856334,855824,855355,854924,854527,854162,0,0,0,0
57480.1052408897,57480.1052408897,57343.5324203124,56958.5030417071,56538.6395749552,56091.8482776258,55627.4385431379,55155.6274973093,54686.7744373528,54230.4593646135,53794.6327885846,53385.0692352768,53005.2361744772,52656.5260063298,52338.6965881638,52050.3633193553,51789.4433526929,51553.5112936936,51340.0593258452,51146.6694543098,50971.1120750253,50811.3896857828,1e+06,1e+06,999801.567682886,999237.450038753,998614.279448709,997941.769240065,997232.27261315,996500.292510911,995761.480957763,995031.237678094,994323.23957771,993648.308943047,993013.886545108,992424.116685704,991880.350882914,991381.828528932,990926.357299799,990510.901895119,990132.045840924,989786.320771351,989470.414541548,54328.9,54328.9,53932.3,53504.2,53049.5,52574.7,52088,51598.3,51115.1,50647,50201.2,49782.9,49395.3,49039.3,48714.7,48419.9,48149.3,47903.4,47679.7,47475.8,47289.6,47122.6,965283,965283,964692,964045,963347,962607,961835,961045,960252,959471,958714,957993,957315,956684,956101,955565,955069,954613,954194,953810,953456,0,0,0,0
57480.1052408897,57480.1052408897,57343.5324203124,56958.5030417071,56538.6395749552,56091.8482776258,55627.4385431379,55155.6274973093,54686.7744373528,54230.4593646135,53794.6327885846,53385.0692352768,53005.2361744772,52656.5260063298,52338.6965881638,52050.3633193553,51789.4433526929,51553.5112936936,51340.0593258452,51146.6694543098,50971.1120750253,50811.3896857828,1e+06,1e+06,999801.567682886,999237.450038753,998614.279448709,997941.769240065,997232.27261315,996500.292510911,995761.480957763,995031.237678094,994323.23957771,993648.308943047,993013.886545108,992424.116685704,991880.350882914,991381.828528932,990926.357299799,990510.901895119,990132.045840924,989786.320771351,989470.414541548,55126.6,55126.6,54730.1,54301.9,53847.2,53372.4,52885.6,52395.9,51912.6,51444.4,50998.5,50580.1,50192.4,49836.4,49511.8,49216.9,48946.3,48700.5,48476.8,48272.9,48086.8,47919.8,979457,979457,978865,978218,977521,976781,976010,975221,974429,973649,972894,972174,971498,970868,970287,969753,969258,968804,968387,968004,967651,0,0,0,0
57480.1052408897,57480.1052408897,57343.5324203124,56958.5030417071,56538.6395749552,56091.8482776258,55627.4385431379,55155.6274973093,54686.7744373528,54230.4593646135,53794.6327885846,53385.0692352768,53005.2361744772,52656.5260063298,52338.6965881638,52050.3633193553,51789.4433526929,51553.5112936936,51340.0593258452,51146.6694543098,50971.1120750253,50811.3896857828,1e+06,1e+06,999801.567682886,999237.450038753,998614.279448709,997941.769240065,997232.27261315,996500.292510911,995761.480957763,995031.237678094,994323.23957771,993648.308943047,993013.886545108,992424.116685704,991880.350882914,991381.828528932,990926.357299799,990510.901895119,990132.045840924,989786.320771351,989470.414541548,51319.2,51319.2,50922.6,50494.5,50039.8,49565.1,49078.5,48589.1,48106.2,47638.5,47193.1,46775.2,46387.9,46032.2,45707.8,45413,45142.5,44896.5,44672.7,44468.6,44282.2,44114.9,911808,911808,911217,910569,909870,909127,908352,907559,906762,905975,905213,904486,903802,903164,902574,902032,901529,901067,900642,900251,899891,0,0,0,0
57480.1052408897,57480.1052408897,57343.5324203124,56958.5030417071,56538.6395749552,56091.8482776258,55627.4385431379,55155.6274973093,54686.7744373528,54230.4593646135,53794.6327885846,53385.0692352768,53005.2361744772,52656.5260063298,52338.6965881638,52050.3633193553,51789.4433526929,51553.5112936936,51340.0593258452,51146.6694543098,50971.1120750253,50811.3896857828,1e+06,1e+06,999801.567682886,999237.450038753,998614.279448709,997941.769240065,997232.27261315,996500.292510911,995761.480957763,995031.237678094,994323.23957771,993648.308943047,993013.886545108,992424.116685704,991880.350882914,991381.828528932,990926.357299799,990510.901895119,990132.045840924,989786.320771351,989470.414541548,51677.2,51677.2,51280.6,50852.5,50397.8,49923.1,49436.5,48947.1,48464.1,47996.4,47550.9,47133,46745.6,46389.9,46065.4,45770.7,45500.1,45254.1,45030.3,44826.2,44639.8,44472.6,918169,918169,917578,916930,916231,915489,914714,913921,913124,912339,911577,910851,910167,909531,908942,908400,907898,907436,907012,906622,906263,0,0,0,0
57480.1052408897,57480.1052408897,57343.5324203124,56958.5030417071,56538.6395749552,56091.8482776258,55627.4385431379,55155.6274973093,54686.7744373528,54230.4593646135,53794.6327885846,53385.0692352768,53005.2361744772,52656.5260063298,52338.6965881638,52050.3633193553,51789.4433526929,51553.5112936936,51340.0593258452,51146.6694543098,50971.1120750253,50811.3896857828,1e+06,1e+06,999801.567682886,999237.450038753,998614.279448709,997941.769240065,997232.27261315,996500.292510911,995761.480957763,995031.237678094,994323.23957771,993648.308943047,993013.886545108,992424.116685704,991880.350882914,991381.828528932,990926.357299799,990510.901895119,990132.045840924,989786.320771351,989470.414541548,57073.2,57073.2,56676.6,56248.4,55793.7,55318.9,54832,54342.1,53858.6,53390.2,52944,52525.5,52137.6,51781.4,51456.7,51161.8,50891.2,50645.4,50421.8,50218,50032.1,49865.3,1014040,1014040,1013450,1012800,1012110,1011370,1010600,1009810,1009020,1008250,1007490,1006780,1006100,1005480,1004900,1004370,1003880,1003430,1003010,1002640,1002290,0,0,0,0
57480.1052408897,57480.1052408897,57343.5324203124,56958.5030417071,56538.6395749552,56091.8482776258,55627.4385431379,55155.6274973093,54686.7744373528,54230.4593646135,53794.6327885846,53385.0692352768,53005.2361744772,52656.5260063298,52338.6965881638,52050.3633193553,51789.4433526929,51553.5112936936,51340.0593258452,51146.6694543098,50971.1120750253,50811.3896857828,1e+06,1e+06,999801.567682886,999237.450038753,998614.279448709,997941.769240065,997232.27261315,996500.292510911,995761.480957763,995031.237678094,994323.23957771,993648.308943047,993013.886545108,992424.116685704,991880.350882914,991381.828528932,990926.357299799,990510.901895119,990132.045840924,989786.320771351,989470.414541548,50357.8,50357.8,49961.2,49533.1,49078.3,48603.7,48117.2,47627.9,47145.1,46677.5,46232.3,45814.5,45427.3,45071.7,44747.3,44452.6,44182.1,43936.1,43712.2,43508.1,43321.7,43154.3,894727,894727,894135,893487,892787,892044,891268,890473,889674,888886,888122,887393,886707,886067,885475,884930,884425,883960,883533,883140,882778,0,0,0,0
57480.1052408897,57480.1052408897,57343.5324203124,56958.5030417071,56538.6395749552,56091.8482776258,55627.4385431379,55155.6274973093,54686.7744373528,54230.4593646135,53794.6327885846,53385.0692352768,53005.2361744772,52656.5260063298,52338.6965881638,52050.3633193553,51789.4433526929,51553.5112936936,51340.0593258452,51146.6694543098,50971.1120750253,50811.3896857828,1e+06,1e+06,999801.567682886,999237.450038753,998614.279448709,997941.769240065,997232.27261315,996500.292510911,995761.480957763,995031.237678094,994323.23957771,993648.308943047,993013.886545108,992424.116685704,991880.350882914,991381.828528932,990926.357299799,990510.901895119,990132.045840924,989786.320771351,989470.414541548,49259.1,49259.1,48862.5,48434.3,47979.6,47505,47018.6,46529.4,46046.7,45579.3,45134.2,44716.6,44329.5,43974,43649.7,43355,43084.5,42838.4,42614.4,42410.3,42223.7,42056.3,875205,875205,874613,873965,873264,872520,871743,870947,870146,869356,868590,867858,867169,866526,865932,865384,864876,864408,863979,863583,863219,0,0,0,0
57480.1052408897,57480.1052408897,57343.5324203124,56958.5030417071,56538.6395749552,56091.8482776258,55627.4385431379,55155.6274973093,54686.7744373528,54230.4593646135,53794.6327885846,53385.0692352768,53005.2361744772,52656.5260063298,52338.6965881638,52050.3633193553,51789.4433526929,51553.5112936936,51340.0593258452,51146.6694543098,50971.1120750253,50811.3896857828,1e+06,1e+06,999801.567682886,999237.450038753,998614.279448709,997941.769240065,997232.27261315,996500.292510911,995761.480957763,995031.237678094,994323.23957771,993648.308943047,993013.886545108,992424.116685704,991880.350882914,991381.828528932,990926.357299799,990510.901895119,990132.045840924,989786.320771351,989470.414541548,53627.7,53627.7,53231.1,52803,52348.2,51873.5,51386.8,50897.2,50414.1,49946,49500.3,49082.1,48694.5,48338.7,48014.1,47719.3,47448.7,47202.8,46979,46775.1,46588.9,46421.9,952824,952824,952233,951586,950887,950147,949374,948583,947789,947007,946249,945527,944847,944215,943630,943093,942595,942138,941718,941332,940977,0,0,0,0
