OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010
57480.1052408897,56776.2842988169,55944.1244859709,55278.3296751476,54778.7271949472,54417.0066780513,54139.1054064698,53869.366935319,53526.7417623213,53053.0835713773,52433.2548661617,51694.0777495243,50881.8194472289,50049.5203216132,49253.177123334,48547.9940475168,47977.1723606816,47553.922175018,47267.3565161367,47090.3788421367,46986.6602430689,46914.8904471464,49912.8,49912.8,49516.2,49088.1,48633.4,48158.7,47672.3,47183,46700.3,46232.7,45787.5,45369.9,44982.7,44627.2,44302.8,44008.1,43737.6,43491.7,43267.8,43063.6,42877.1,42709.7
57480.1052408897,54881.7590295882,54072.9948008358,53217.2120910329,52362.7581631379,51556.8442057634,50831.9092085206,50205.7496599349,49691.9897022315,49302.9336570402,49036.5712346386,48874.5812759411,48783.2169494269,48732.3833264694,48710.1616382547,48726.4723151679,48797.0133452785,48938.5913491708,49165.2811744353,49488.2284392852,49916.9102034661,50451.3525204258,58830,58830,58433.4,58005.3,57550.6,57075.7,56588.7,56098.8,55615.1,55146.5,54700.1,54281.4,53893.3,53537.1,53212.2,52917.3,52646.8,52401.1,52177.7,51974.2,51788.4,51621.7
57480.1052408897,52985.6903966636,52369.009705484,51611.6174936231,50784.7067810139,49961.4010009127,49197.5360499038,48522.3770547955,47938.3403354031,47439.0455455904,47027.9123684841,46719.4952052119,46537.9224225777,46508.286735975,46641.7421749231,46927.4961560946,47324.6032368148,47761.3840629214,48153.94008656,48445.6339179458,48634.1086272431,48751.9944472182,56760.8,56760.8,56364.2,55936.1,55481.3,55006.5,54519.7,54029.8,53546.4,53077.9,52631.8,52213.3,51825.4,51469.3,51144.6,50849.7,50579.2,50333.4,50109.8,49906.1,49720.1,49553.2
57480.1052408897,53847.8157441348,53026.8114751916,52108.904873467,51137.0287874767,50162.209563018,49238.8790966896,48411.3236973083,47708.698436962,47138.1199572633,46700.1082025223,46395.9641253152,46217.127119993,46137.0994647577,46118.898311839,46139.5894986626,46201.1769014777,46316.346254881,46485.0417463738,46701.1441435533,46962.9643803443,47267.795906818,56822,56822,56425.4,55997.2,55542.5,55067.7,54580.8,54091,53607.5,53139.1,52693,52274.4,51886.5,51530.4,51205.7,50910.8,50640.3,50394.6,50171.1,49967.4,49781.3,49614.5
57480.1052408897,49237.9900701395,48950.8715200694,48647.5015980747,48320.6044681653,47961.5257199409,47574.2876601973,47184.9356254976,46834.8685527729,46565.7533732129,46410.128703224,46382.768560599,46471.1958606187,46636.2811592846,46818.0113785103,46954.1868350615,46999.7808934398,46936.2816110593,46773.4144952301,46545.5500572946,46296.1901041996,46074.8052402057,51400.5,51400.5,51003.9,50575.8,50121.1,49646.4,49159.8,48670.4,48187.5,47719.8,47274.4,46856.5,46469.1,46113.5,45789,45494.3,45223.6,44977.6,44753.7,44549.7,44363.4,44196.2
57480.1052408897,51565.6841740274,51004.4042621528,50384.3319100503,49720.7416882548,49045.6857657583,48391.4020202388,47775.6901867843,47205.5427600575,46686.4787951872,46232.2731503886,45864.7358835353,45600.5171971074,45449.6821219219,45414.924195794,45486.7881196666,45642.3830919707,45858.9230194103,46126.5701238599,46445.7256084944,46816.8087349475,47230.4359575596,60151.5,60151.5,59754.9,59326.8,58872.1,58397.2,57910.2,57420.1,56936.3,56467.5,56021.1,55602.2,55214,54857.7,54532.8,54237.8,53967.4,53721.6,53498.2,53294.7,53108.9,52942.3
57480.1052408897,51040.6807173333,50465.7894743806,49826.0614819545,49179.7715991549,48612.3216301055,48211.232327654,48034.6188634721,48096.0525951644,48359.9161151477,48752.3992238371,49183.9992585912,49572.070417189,49872.4272442516,50081.6667013864,50208.720810215,50247.0980044549,50175.7372416758,49975.6455925419,49649.2354269212,49224.5125423488,48740.3972069879,51502.8,51502.8,51106.2,50678,50223.3,49748.6,49262.1,48772.7,48289.7,47822,47376.5,46958.6,46571.3,46215.6,45891.2,45596.4,45325.8,45079.7,44855.7,44651.6,44465.1,44297.9
57480.1052408897,48653.6155695973,48709.5091183206,48803.3022046492,48898.5219834752,48943.6747042763,48876.3364677299,48635.1553236446,48181.2884917756,47511.9653274203,46665.2996471754,45701.0959005289,44688.7956153494,43693.4532593541,42775.5619872368,41993.8733127809,41401.4981366325,41036.8571828465,40915.3274146876,41027.3156716992,41338.3299921939,41790.4513074787,52932.3,52932.3,52535.8,52107.6,51652.9,51178.2,50691.5,50202,49718.9,49251,48805.3,48387.2,47999.7,47643.9,47319.4,47024.6,46754.2,46508.5,46285,46081.2,45895,45727.8
57480.1052408897,55925.0113217661,55182.8883289723,54707.8725402077,54544.7474405236,54677.8389077774,55021.6579340567,55434.4635701001,55753.0676976767,55848.9635348651,55665.294455146,55219.5025875432,54572.517751311,53810.9479236057,53021.6722040185,52270.4683022418,51593.8259096619,51010.8353644642,50529.6896823221,50145.1743603989,49834.8403146636,49573.2851451085,57973.5,57973.5,57576.9,57148.8,56694,56219.1,55732.2,55242.3,54758.7,54290.2,53843.9,53425.3,53037.3,52681.1,52356.3,52061.4,51790.8,51544.9,51321.4,51117.8,50931.9,50765.1
57480.1052408897,53795.0923890581,53236.6129079831,52605.2523264326,51924.5399794446,51228.7534296636,50557.8046118218,49949.6494072925,49429.384821642,49010.2837396113,48687.5574177969,48447.2864674038,48278.1597815116,48167.0552043257,48099.8903115001,48052.2064713573,47990.7815059555,47888.5722646269,47734.3795975303,47531.3710652654,47285.5909191446,47010.9119290788,51618,51618,51221.4,50793.2,50338.5,49863.8,49377.3,48887.8,48404.9,47937.1,47491.7,47073.8,46686.4,46330.7,46006.3,45711.5,45440.8,45194.8,44970.9,44766.8,44580.5,44413.3
