OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010
57480.1052408897,52868.4559725539,51906.7138554768,51119.888147754,50529.4907367996,50139.2440326087,49928.4557829171,49865.9549344597,49915.6336920873,50038.5994335817,50193.8143376302,50341.5879914029,50452.4475062601,50519.7752049117,50554.5804147312,50577.9988763948,50608.0175153101,50647.7438542433,50684.8785185012,50701.8699586008,50678.1682505083,50591.5061762012,55295.4,55295.4,54898.8,54470.7,54016,53541.2,53054.4,52564.7,52081.4,51613.1,51167.2,50742.7,50347.9,49984,49650.5,49346.3,49069.2,48816.9,48587.2,48377.8,48186.7,48018.3
57480.1052408897,53648.041217595,53349.5920992124,53102.902028084,52943.0718847224,52891.1324306358,52956.3746513248,53129.1303178077,53387.1734962002,53689.9957668823,53977.590188089,54197.8228293041,54325.5006638884,54358.3358001613,54304.4234921432,54172.8675896444,53971.9843276633,53720.4413931611,53450.5537912552,53197.1085626512,52972.3907216112,52762.6275903764,57705.5,57705.5,57308.9,56880.8,56426,55951.2,55464.3,54974.4,54490.8,54022.3,53576.1,53151.1,52756,52391.7,52058.1,51753.7,51476.5,51224.3,50994.6,50785.5,50594.9,50426.8
57480.1052408897,55579.625687336,55120.2599653129,54658.5445183907,54191.4549045138,53735.9831948555,53318.5199457897,52967.7019987159,52713.6900186331,52583.9161103398,52594.2847072386,52744.1169271791,53013.7268065259,53366.9995186984,53748.3688189654,54077.7735517607,54270.8207401636,54273.0119573082,54071.8570150754,53687.8942471013,53166.7634924642,52563.3009450388,57657,57657,57260.5,56832.3,56377.6,55902.7,55415.8,54925.9,54442.4,53973.9,53527.7,53103,52708,52343.8,52010.1,51705.5,51427.9,51175.5,50945.8,50736.4,50545.7,50377.6
57480.1052408897,58033.0092962783,57245.4461405368,56644.3177137306,56228.460150666,55964.4976760972,55799.4539747329,55681.3445372988,55570.0812733004,55443.3933533997,55298.0247275596,55139.6812764263,54985.2667907788,54851.3810783163,54750.7117844265,54690.8752554591,54661.4857023236,54629.3661474433,54546.2351459621,54369.2407611333,54088.2790460014,53737.1217066638,59512.9,59512.9,59116.3,58688.2,58233.4,57758.5,57271.6,56781.6,56297.8,55829.1,55382.7,54957.8,54562.8,54198.6,53865,53560.4,53283,53030.4,52800.7,52591.6,52401,52233
57480.1052408897,62844.2422874344,62665.8870487472,62409.1563358399,62125.064873872,61853.1378211397,61623.9334333823,61455.5838763168,61342.4380495798,61262.7331356985,61188.9392207301,61097.9961530209,60983.5519517648,60844.289768466,60679.8282922955,60493.9195158956,60291.1395243614,60081.9993467275,59871.8061089607,59659.3822991118,59435.6987611639,59181.0270180924,68627,68627,68230.4,67802.3,67347.5,66872.4,66385.1,65894.6,65410.1,64940.6,64493.4,64067.6,63671.6,63306.7,62972.6,62668,62390.9,62138.9,61909.6,61700.7,61510.2,61342.6
57480.1052408897,52681.1862665696,52857.714488272,52986.7527645121,53040.740019833,53012.6292996408,52921.6207634868,52793.7546950274,52646.9970714014,52488.9891167238,52306.7435703671,52069.2143702069,51741.9264430544,51297.3369874702,50724.676022792,50027.6428864428,49222.4299271553,48341.4610766227,47438.9327112582,46583.5327081383,45842.3672712154,45264.1030020114,52751.4,52751.4,52354.8,51926.7,51472,50997.2,50510.6,50021.1,49538,49070.1,48624.5,48200,47805.1,47440.9,47107.2,46802.8,46525.6,46273.4,46043.9,45834.8,45644.1,45475.8
57480.1052408897,53638.636304216,53561.7701902611,53462.7725778118,53365.4169892638,53270.5942008809,53156.6522381872,52993.2349659193,52749.2596474256,52392.2571901935,51888.2353983367,51210.9307509166,50359.7495084813,49367.0520787157,48290.2688217395,47193.4439316011,46134.0147386913,45149.5270937431,44253.8889290784,43446.5373772433,42722.7335449428,42087.3004889098,46021,46021,45624.4,45196.3,44741.6,44267.1,43780.8,43292,42809.8,42342.9,41898.3,41474.9,41081,40717.7,40384.7,40080.7,39803.5,39551.1,39321,39111.3,38919.9,38750.9
57480.1052408897,56858.4063664666,56007.4956363518,55265.9753514665,54664.3159898516,54216.8487574416,53929.3343811488,53807.8907998356,53856.7571237971,54072.7170534474,54437.4381714752,54916.5921409322,55466.9222407978,56041.5416399712,56590.2994588806,57065.1462235075,57416.5149210398,57584.6872884921,57511.4221675844,57158.7935800878,56531.6683332824,55672.3708590706,58278.8,58278.8,57882.2,57454.1,56999.3,56524.5,56037.5,55547.6,55064,54595.4,54149.1,53724.5,53329.6,52965.4,52631.7,52327,52049.4,51796.7,51566.6,51357,51166,50998
57480.1052408897,53241.4622261385,53370.9524282098,53442.1834916032,53431.7172420603,53326.9823632102,53124.882220128,52823.455126792,52428.4682551875,51956.56280949,51431.6581038026,50883.2747209963,50334.4224468312,49796.4313074199,49267.9502755647,48738.5180492445,48208.0014650753,47691.5729279774,47218.5515755357,46822.6578604529,46522.7499476505,46317.192221674,52896.5,52896.5,52499.9,52071.8,51617,51142.3,50655.7,50166.1,49683.1,49215.1,48769.5,48345,47950.2,47586.3,47253.1,46948.9,46671.9,46419.7,46189.9,45980.5,45789.7,45621.3
57480.1052408897,55258.4129918313,54420.9525026142,53636.8175939055,52919.5733290467,52254.4872455366,51608.236892669,50942.6683549543,50246.9332921759,49543.3797822498,48873.3063373859,48277.5144455429,47783.7920698416,47391.2502804011,47075.4688481845,46805.8569375255,46555.4975385162,46296.4147587148,46005.233248731,45679.4042993473,45356.4403739547,45096.5617494739,50154,50154,49757.4,49329.3,48874.6,48399.9,47913.4,47424.1,46941.4,46473.8,46028.6,45604.8,45210.8,44847.3,44514,44209.5,43932.2,43679.8,43450,43240.7,43049.7,42881.1
