OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010
61955.709530834,60737.8600705519,60733.1114267121,60536.1519794659,60192.72373273,59755.3177914642,59257.5236299157,58701.9894558652,58066.9052712234,57326.7806862952,56474.5443493706,55538.8897769553,54582.721123803,53678.3773751043,52866.3037715815,52142.4908060558,51477.070000705,50841.4222375457,50231.3862448688,49667.8409621045,49183.0187234941,48815.8859041423,59128,59128,58277.2,57294.4,56260.2,55232.3,54243.6,53312.8,52450,51659.8,50942.8,50296.8,49716.5,49195,48726.1,48304.4,47922.7,47578.1,47267.2,46986.4,46732.8,46505.7
61955.709530834,60737.8600705519,60733.1114267121,60536.1519794659,60192.72373273,59755.3177914642,59257.5236299157,58701.9894558652,58066.9052712234,57326.7806862952,56474.5443493706,55538.8897769553,54582.721123803,53678.3773751043,52866.3037715815,52142.4908060558,51477.070000705,50841.4222375457,50231.3862448688,49667.8409621045,49183.0187234941,48815.8859041423,62983.3,62983.3,62132.5,61149.6,60115.3,59087.4,58099.1,57169.1,56307.5,55518.7,54803.3,54159.1,53580.5,53060.9,52593.9,52174,51794.2,51451.6,51142.5,50863.5,50611.8,50386.4
61955.709530834,60737.8600705519,60733.1114267121,60536.1519794659,60192.72373273,59755.3177914642,59257.5236299157,58701.9894558652,58066.9052712234,57326.7806862952,56474.5443493706,55538.8897769553,54582.721123803,53678.3773751043,52866.3037715815,52142.4908060558,51477.070000705,50841.4222375457,50231.3862448688,49667.8409621045,49183.0187234941,48815.8859041423,50456.2,50456.2,49605.4,48622.8,47589.1,46561,45571.1,44638,43771.9,42977.6,42256,41604.9,41019.2,40492.3,40017.9,39590.7,39203.4,38853.5,38537.2,38251.1,37992.1,37759.7
61955.709530834,60737.8600705519,60733.1114267121,60536.1519794659,60192.72373273,59755.3177914642,59257.5236299157,58701.9894558652,58066.9052712234,57326.7806862952,56474.5443493706,55538.8897769553,54582.721123803,53678.3773751043,52866.3037715815,52142.4908060558,51477.070000705,50841.4222375457,50231.3862448688,49667.8409621045,49183.0187234941,48815.8859041423,58705.1,58705.1,57854.3,56871.5,55837.3,54809.4,53820.7,52889.8,52026.8,51236.4,50519.3,49873.1,49292.5,48770.8,48301.7,47879.7,47497.8,47153.1,46842,46560.9,46307,46079.7
61955.709530834,60737.8600705519,60733.1114267121,60536.1519794659,60192.72373273,59755.3177914642,59257.5236299157,58701.9894558652,58066.9052712234,57326.7806862952,56474.5443493706,55538.8897769553,54582.721123803,53678.3773751043,52866.3037715815,52142.4908060558,51477.070000705,50841.4222375457,50231.3862448688,49667.8409621045,49183.0187234941,48815.8859041423,53522.6,53522.6,52671.8,51689.1,50655.2,49627.2,48637.8,47705.6,46840.8,46048.1,45328.3,44679.3,44095.7,43570.9,43098.8,42673.7,42288.6,41940.8,41626.7,41342.7,41085.9,40855.7
61955.709530834,60737.8600705519,60733.1114267121,60536.1519794659,60192.72373273,59755.3177914642,59257.5236299157,58701.9894558652,58066.9052712234,57326.7806862952,56474.5443493706,55538.8897769553,54582.721123803,53678.3773751043,52866.3037715815,52142.4908060558,51477.070000705,50841.4222375457,50231.3862448688,49667.8409621045,49183.0187234941,48815.8859041423,50769.9,50769.9,49919.1,48936.5,47902.8,46874.7,45884.8,44951.8,44085.9,43291.8,42570.3,41919.5,41334,40807.3,40333.2,39906.2,39519.2,39169.5,38853.4,38567.4,38308.7,38076.6
61955.709530834,60737.8600705519,60733.1114267121,60536.1519794659,60192.72373273,59755.3177914642,59257.5236299157,58701.9894558652,58066.9052712234,57326.7806862952,56474.5443493706,55538.8897769553,54582.721123803,53678.3773751043,52866.3037715815,52142.4908060558,51477.070000705,50841.4222375457,50231.3862448688,49667.8409621045,49183.0187234941,48815.8859041423,54955.4,54955.4,54104.7,53121.9,52088,51059.9,50070.7,49138.9,48274.7,47482.7,46763.7,46115.5,45532.8,45008.9,44537.7,44113.6,43729.5,43382.6,43069.2,42786.2,42530.4,42301
61955.709530834,60737.8600705519,60733.1114267121,60536.1519794659,60192.72373273,59755.3177914642,59257.5236299157,58701.9894558652,58066.9052712234,57326.7806862952,56474.5443493706,55538.8897769553,54582.721123803,53678.3773751043,52866.3037715815,52142.4908060558,51477.070000705,50841.4222375457,50231.3862448688,49667.8409621045,49183.0187234941,48815.8859041423,58883.5,58883.5,58032.8,57049.9,56015.8,54987.8,53999.1,53068.3,52205.4,51415.1,50698,50051.9,49471.4,48949.8,48480.8,48058.9,47677.1,47332.6,47021.5,46740.5,46486.7,46259.5
61955.709530834,60737.8600705519,60733.1114267121,60536.1519794659,60192.72373273,59755.3177914642,59257.5236299157,58701.9894558652,58066.9052712234,57326.7806862952,56474.5443493706,55538.8897769553,54582.721123803,53678.3773751043,52866.3037715815,52142.4908060558,51477.070000705,50841.4222375457,50231.3862448688,49667.8409621045,49183.0187234941,48815.8859041423,66569.1,66569.1,65718.4,64735.3,63700.9,62673.1,61685.2,60755.9,59895.2,59107.5,58393.4,57750.6,57173.5,56655.4,56190,55771.5,55393.2,55052.1,54744.5,54467,54216.6,53992.6
61955.709530834,60737.8600705519,60733.1114267121,60536.1519794659,60192.72373273,59755.3177914642,59257.5236299157,58701.9894558652,58066.9052712234,57326.7806862952,56474.5443493706,55538.8897769553,54582.721123803,53678.3773751043,52866.3037715815,52142.4908060558,51477.070000705,50841.4222375457,50231.3862448688,49667.8409621045,49183.0187234941,48815.8859041423,54513.9,54513.9,53663.2,52680.5,51646.5,50618.5,49629.2,48697.3,47832.9,47040.7,46321.4,45673,45090,44565.9,44094.4,43669.9,43285.6,42938.5,42625,42341.6,42085.4,41855.8
