OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010
67951.64283738,55922.5083954529,55455.9794147274,54974.5608131939,54374.3920916234,53753.9361360778,53102.4757968028,52449.357737406,51923.122566555,51440.0956383,50933.8872273989,50276.7373190836,49448.9971586089,48486.1606530871,47423.3772655547,46369.2760702888,45338.863108412,44296.285863307,43241.9457962377,42191.4254003947,41104.5775849435,39981.0524567985,69939.3,69939.3,69548.9,68622.8,67608.9,66515,65352.4,64134.7,62875.6,61587.8,60282.1,58967.7,57652,56341.5,55041.6,53757.3,52493.3,51253.8,50042.8,48863.7,47719.8,46613.8
67951.64283738,60299.4145899165,60085.0291687736,59725.0646842239,59182.8499609355,58492.2857658533,57683.7829529941,56651.2647269626,55514.3197089944,54335.0554650396,53130.9758974788,51961.5974472829,50854.576378129,49799.4044360566,48729.436039709,47678.8554848766,46745.441027992,45974.6700935316,45352.8461115715,44864.9184295805,44488.6780900256,44069.0850171718,87998.2,87998.2,87607.8,86681.8,85667.8,84573.2,83409.3,82189.7,80928.3,79638,78330.2,77014.3,75698.4,74389,73092.1,71813,70556.4,69326.7,68128.2,66964.3,65838.3,64753.2
67951.64283738,61526.7758838854,61168.8421884266,60668.4146623536,60129.8979498329,59588.1698417236,58948.3349283338,58361.2169938753,57727.496233867,57049.2663562222,56223.3099261982,55341.2053072346,54448.9930165162,53515.3178413831,52490.5499593238,51396.3286344486,50273.9144209147,49171.7351070618,48059.0166251178,46933.8435125485,45847.9178039519,44868.4726633303,79438,79438,79047.6,78121.6,77107.6,76013.3,74850,73631.1,72370.7,71081.4,69774.5,68459.2,67143.3,65833.4,64535.2,63253.9,61994.2,60760.5,59556.8,58386.6,57253.3,56159.7
67951.64283738,65613.131701969,66035.6598653525,66159.6934852056,66007.0941956187,65690.1596963946,65223.390731111,64676.1048349318,64085.0004518522,63554.4226412859,63060.6692326754,62502.524357441,61936.4698740523,61384.6562517899,60781.9541704464,59988.7695230171,58977.593491004,57841.7572774678,56567.7912435363,55245.7943240327,53989.8712937737,52893.1319638477,83456.6,83456.6,83066.1,82140.1,81126.1,80031.7,78868.1,77648.9,76387.9,75098.1,73790.8,72475.2,71159.3,69849.6,68552.1,67271.8,66013.6,64781.9,63580.8,62413.7,61284.1,60194.6
67951.64283738,62512.1386683766,61959.7365657847,61399.4188816237,60769.0876668308,60148.8777934449,59575.2940043385,59050.7482706718,58487.5760871916,57838.2484074765,57087.2553632491,56264.1392913766,55424.0329481696,54577.7909100145,53800.9293948332,53049.9449802068,52277.9562948108,51503.0256455795,50666.3045677444,49821.8203550089,48944.79212363,48034.2187419107,84695.4,84695.4,84305,83379,82365,81270.5,80106.8,78887.5,77626.4,76336.5,75029,73713.3,72397.4,71087.8,69790.5,68510.5,67252.8,66021.7,64821.2,63655.1,62526.5,61438.3
67951.64283738,58218.586290732,57769.8308016207,57097.2212641543,56256.9359115453,55248.2452706224,54240.0682185412,53220.0422339717,52322.0204158022,51430.2297769038,50522.6500110522,49641.7121010875,48683.5411921248,47705.1160047522,46658.0841475488,45575.3761281981,44472.6985325195,43371.5860300437,42268.6777842594,41200.1343597943,40182.5324935361,39207.0774066618,71205.6,71205.6,70815.1,69889.1,68875.2,67781.2,66618.5,65400.6,64141.3,62853.3,61547.4,60232.8,58917.1,57606.7,56307,55023.2,53759.8,52521.2,51311.3,50133.5,48991.2,47887.2
67951.64283738,57089.4956833666,56679.3376564384,56076.264040887,55361.7116425298,54631.0772992819,53823.6089191546,53013.0693273574,52201.2826470298,51397.5568679659,50616.5627092454,49805.1219161174,48909.4343926935,47972.1586904063,46980.3084062966,45992.7565907877,45056.9060907207,44148.0227824757,43235.5678932179,42350.245004891,41500.3607003642,40637.5678524225,73879,73879,73488.6,72562.6,71548.6,70454.5,69291.6,68073.4,66813.7,65525.2,64219,62904.1,61588.4,60278.1,58978.9,57696,56433.9,55197,53989.3,52814.2,51675.1,50574.7
67951.64283738,64294.7031854331,63779.8177635925,63139.7363386738,62423.9555729402,61613.8272932777,60811.1460564415,59978.2362400463,59136.680994226,58353.6041187682,57663.2334360596,56917.8785394441,56065.2708732758,55084.3000367051,54075.7891413967,53098.1358031828,52117.7746118721,51116.2254497061,50072.2082117047,48982.9936618959,47892.5207512239,46800.4149160898,77253.4,77253.4,76863,75936.9,74923,73828.7,72665.6,71447,70186.8,68897.8,67591.1,66276,64960.2,63650.1,62351.6,61069.6,59809,58574.1,57368.9,56196.9,55061.4,53965.2
67951.64283738,60875.9191360783,60396.3712686519,59714.6238103607,58890.1031488032,57993.6995907803,57050.1532769577,55986.4501429855,54911.1906344956,53825.58227958,52820.477732526,51957.0764899058,51243.364798059,50616.1671873812,49956.59529392,49177.8711918105,48346.4461869331,47442.4361457983,46610.6146005632,45770.026631213,44977.3749671134,44196.0990294483,82977.2,82977.2,82586.8,81660.8,80646.7,79552.3,78388.8,77169.6,75908.7,74619,73311.6,71996.1,70680.2,69370.5,68072.9,66792.5,65534.2,64302.3,63100.8,61933.4,60803.3,59713.5
67951.64283738,72048.3794446549,70390.476794446,68701.5983394832,67103.9110537444,65543.7035692461,64028.6542791267,62508.7706495284,60992.4208781841,59518.7145166348,58049.8103758882,56546.0020856091,55105.0308998551,53707.5044115584,52308.694407653,50876.0583405478,49513.5758188414,48303.2106527595,47271.4385463489,46269.9855808355,45129.6738581858,43898.5588526847,78339.4,78339.4,77949,77022.9,76009,74914.7,73751.4,72532.7,71272.4,69983.3,68676.5,67361.3,66045.4,64735.5,63437.1,62155.5,60895.3,59661,58456.5,57285.5,56151.1,55056.2
