OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010
135903.287831889,127952.554179075,126609.846805365,125148.975366987,123815.477192263,122729.716510265,121753.196485307,120889.812472964,120149.257512575,119433.373866518,118639.930080894,117825.136777751,116994.234153922,115990.09518564,114767.311725142,113396.995113961,111904.858607434,110441.547544957,109180.172020865,108251.758961969,107377.762738078,106516.360340512,161420,161420,161030,160104,159090,157994,156828,155605,154340,153045,151734,150417,149101,147794,146503,145233,143989,142776,141599,140460,139363,138310
135903.287831889,120412.4069079,120111.080271127,119599.358739803,118863.600945654,117850.085796828,116727.235185832,115679.018957271,114543.478004933,113472.437996799,112360.823829808,111096.559077185,109789.585539796,108522.099723503,107308.345400264,106120.581305208,104953.814141396,103812.722011661,102532.374334486,101219.511735273,100136.411771602,99419.0421478186,152690,152690,152300,151374,150360,149264,148098,146875,145610,144316,143005,141688,140372,139065,137773,136503,135258,134044,132865,131725,130626,129571
135903.287831889,119321.31209046,118199.604597265,117060.937549834,115909.790936994,114753.496032148,113627.588713641,112560.758161251,111633.811689408,110637.184715972,109501.735099729,108212.740767483,106976.733010121,105868.667909962,104929.383720345,104203.114863435,103792.651729161,103510.67499568,103197.503274041,102802.41175861,102290.055973597,101664.071926069,148626,148626,148236,147310,146296,145200,144034,142812,141547,140253,138942,137625,136309,135002,133710,132439,131194,129980,128800,127658,126558,125503
135903.287831889,119761.180534636,118951.085836854,117951.634289779,116851.942064652,115633.48006658,114341.752800603,113024.194017199,111693.863344224,110432.997686497,109170.419513588,107879.72802443,106500.391149375,105004.567888836,103517.202085375,102052.501164589,100550.908512203,99151.3316615591,97940.4467629094,96967.3776788898,96270.6984705875,95766.5748143111,145515,145515,145125,144199,143184,142089,140923,139701,138436,137142,135831,134514,133198,131891,130599,129328,128082,126867,125687,124545,123444,122388
135903.287831889,118867.631051661,119761.144394949,120394.202527444,120797.830577479,121228.146679683,121640.873297391,121953.719000973,121938.068407648,121412.752163826,120645.838641238,119847.917129026,119082.347219278,118175.035330741,117439.088270895,116909.141432535,116691.653470019,116649.465834685,116882.433418095,117152.88594626,117254.458936818,117158.863105724,177134,177134,176743,175817,174803,173707,172541,171318,170052,168757,167446,166128,164812,163506,162215,160946,159704,158493,157317,156181,155087,154038
135903.287831889,128372.409824222,128398.595635255,128018.866595002,127174.139903652,126037.417013329,124864.714380376,123799.490260544,122777.74673498,121599.441994859,120232.884387291,118739.942418617,116955.385368318,115083.326234236,113057.1449166,111029.38630108,109043.566343894,107502.701923813,106197.160301068,105123.62696674,104098.018351051,103055.820362247,154713,154713,154322,153396,152382,151286,150121,148898,147633,146339,145028,143710,142394,141087,139796,138525,137281,136067,134889,133748,132650,131596
135903.287831889,123688.553566541,124023.758601975,124126.495837489,124040.661941036,123774.571320366,123226.50848427,122311.505352721,120975.617179128,119419.105124393,117740.212842726,116356.120113989,115356.290194983,114439.830579209,113255.184047603,112060.349074701,110918.625582826,109706.447360273,108275.725126537,106815.134149287,105518.445451117,104433.643344219,154390,154390,154000,153074,152059,150964,149798,148575,147310,146016,144705,143387,142071,140765,139473,138203,136958,135745,134566,133425,132327,131273
135903.287831889,108993.151170983,108420.598256992,107888.169314894,107265.345584768,106621.77383976,106025.629377615,105450.955142254,105068.067226051,104766.840865774,104554.654366435,104325.501745128,103859.69432014,103287.701559792,102668.419928853,101984.950657758,101273.641699017,100387.037455331,99496.840750593,98669.3096814671,98071.2689530901,97700.6966451282,141562,141562,141172,140246,139232,138136,136970,135748,134483,133190,131879,130562,129246,127939,126646,125375,124129,122913,121732,120589,119488,118430
135903.287831889,131282.95020488,130121.996744224,129084.195222505,127975.975713983,126959.085423612,126021.769565559,125214.417677515,124434.445254784,123412.732174506,122514.745717895,121667.472369825,120939.518572715,120320.433055608,119611.648627302,118645.131840425,117285.915975085,115842.12713034,114509.421384392,113382.728651593,112500.321632083,111901.792440662,159846,159846,159456,158530,157516,156420,155254,154031,152766,151472,150161,148843,147527,146220,144929,143659,142415,141202,140024,138885,137788,136735
135903.287831889,142465.315161904,141188.691519715,139839.589883826,138426.756479798,136886.845530929,135468.198432591,134307.031511875,133496.913346396,132564.083796741,131219.302485687,129705.130012047,128142.111611979,126652.672469779,125129.540515689,123624.122636752,122254.571086185,121094.92417734,120063.720829111,118977.601321877,117805.293455146,116636.705922003,152583,152583,152192,151266,150252,149157,147991,146768,145503,144209,142898,141580,140264,138958,137666,136395,135151,133937,132758,131617,130518,129464
135903.287831889,128774.287571526,128414.170021706,127924.998817756,127197.773511536,126299.022726578,125370.852773454,124180.753067231,122981.029684073,121903.324463866,120991.080789223,120259.201694172,119435.018935016,118481.973634782,117644.998560445,116967.138780886,116465.844437384,116084.048124346,115726.034001427,115186.7846072,114559.335431542,113769.155487213,172973,172973,172582,171656,170642,169546,168380,167157,165891,164597,163285,161968,160652,159345,158055,156785,155543,154331,153155,152018,150923,149873
135903.287831889,125926.187643935,125469.117045351,124830.396218875,124115.652561514,123148.996954526,122243.279107564,121503.93387295,121009.735922056,120628.204150489,120437.543812189,120278.676177956,119890.836389226,119209.421719334,118311.559119984,117395.862846136,116568.75165255,115585.531645072,114300.477673885,112825.230522069,111058.239988575,109169.852067109,144743,144743,144353,143427,142413,141317,140152,138929,137664,136371,135060,133742,132426,131119,129827,128556,127311,126096,124915,123773,122672,121615
135903.287831889,120703.148376401,120428.339928956,119989.493493842,119374.650097492,118551.70163733,117470.629619769,116311.238260463,115174.007869191,113931.049720878,112643.737540444,111529.134115063,110674.512615438,110199.965860965,109972.812725736,109938.956736839,109980.291051123,109929.637227617,109752.522144679,109586.201205221,109383.275390598,109075.540092657,171958,171958,171567,170642,169627,168532,167365,166142,164877,163582,162271,160953,159637,158331,157040,155771,154528,153316,152140,151003,149908,148858
135903.287831889,114200.58687156,114633.581397394,114763.893884344,114581.266291233,114316.061284191,114142.825990987,113986.095082313,113962.416731264,114182.128560314,114584.388176256,115093.05221225,115450.300904713,115719.793861193,115979.087337812,116217.305238288,116461.277675375,116826.911936673,117264.58096511,117849.58914611,118329.447996089,118617.107600677,188580,188580,188189,187263,186249,185153,183987,182763,181497,180203,178891,177573,176257,174951,173661,172392,171151,169941,168767,167632,166539,165492
