OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,OM_rec_R1_1990,OM_rec_R1_1991,OM_rec_R1_1992,OM_rec_R1_1993,OM_rec_R1_1994,OM_rec_R1_1995,OM_rec_R1_1996,OM_rec_R1_1997,OM_rec_R1_1998,OM_rec_R1_1999,OM_rec_R1_2000,OM_rec_R1_2001,OM_rec_R1_2002,OM_rec_R1_2003,OM_rec_R1_2004,OM_rec_R1_2005,OM_rec_R1_2006,OM_rec_R1_2007,OM_rec_R1_2008,OM_rec_R1_2009,OM_rec_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010,AM_rec_1990,AM_rec_1991,AM_rec_1992,AM_rec_1993,AM_rec_1994,AM_rec_1995,AM_rec_1996,AM_rec_1997,AM_rec_1998,AM_rec_1999,AM_rec_2000,AM_rec_2001,AM_rec_2002,AM_rec_2003,AM_rec_2004,AM_rec_2005,AM_rec_2006,AM_rec_2007,AM_rec_2008,AM_rec_2009,AM_rec_2010,SelLL_P1,SelLL_P2,SelLL_P3,Starting_AM_B0
57480.1052408897,60304.0416920253,60493.8365107479,60343.1732832166,60047.5463273562,59622.9513579693,59096.7633199801,58479.037534373,57756.0104507781,56900.7393527096,55907.8336577228,54818.5506649675,53719.3555481622,52709.6768092963,51873.9769531943,51267.5269334193,50907.5733411581,50766.0818797323,50766.3902196299,50806.0443151337,50793.642725896,50682.2144251618,816806,624335.336071063,814258.737242159,1184895.73474171,1701842.19530993,1231549.19735385,784657.97668169,1205610.83469143,482793.846122414,1391468.66841869,526767.366039227,896044.420014704,1095259.96361235,787031.94938114,860787.068303688,1841533.79334406,924173.100400841,783879.943711138,819740.883290378,966246.157151526,1558284.86118996,45433.9,45433.9,45037.3,44609.2,44154.5,43680,43193.8,42705.1,42223,41756.1,41311.7,40894.7,40508.1,40153.1,39829,39534.5,39263.9,39017.8,38793.5,38589,38402,38234.2,807242,807242,806650,806000,805297,804550,803768,802966,802158,801360,800585,799843,799144,798491,797885,797327,796808,796329,795889,795483,795109,0,0,0,0
57480.1052408897,64242.9130084302,63418.8293794412,62339.7207701785,61247.6116223478,60146.3362084448,59026.4859375435,57883.1804739366,56731.6303918088,55610.1263830593,54570.9790641917,53669.8030702548,52951.4470835374,52447.2950569573,52181.9023658605,52164.9521095543,52377.9251244439,52765.1588772928,53237.2375428156,53693.7336505645,54045.5149877027,54228.5391033338,655189,775695.727401637,1322528.67927336,1406742.12035262,1154868.5015757,1526096.41180225,1065680.72930105,1307843.12784526,893500.995617773,708008.380273523,1371820.53735089,938525.076073381,1110783.17978588,742294.096200664,521741.289752975,725313.347984068,1620742.89953064,987389.312416339,872096.618028007,1009831.65051718,691877.17789503,53480.3,53480.3,53083.7,52655.5,52200.8,51726.1,51239.4,50749.8,50266.7,49798.6,49352.9,48934.8,48547.2,48191.4,47866.8,47572,47301.5,47055.6,46831.8,46627.8,46441.5,46274.4,950205,950205,949613,948966,948268,947527,946754,945963,945169,944386,943628,942906,942226,941593,941008,940471,939973,939515,939095,938709,938353,0,0,0,0
57480.1052408897,64270.1424977029,64004.0097240842,63292.3050260342,62377.4037686267,61305.327257805,60134.002143905,58921.6067137679,57722.3939432871,56587.2599862245,55560.6584399744,54681.4716751509,53984.7961820146,53508.0730213018,53280.7387621621,53313.2090725568,53595.8565089106,54098.7702788273,54750.8782392727,55440.0561565358,56043.0988696926,56464.3307526652,937888,1202629.68666628,718541.440947772,1025996.34807544,1318861.49260931,2568665.80872337,868326.154055003,744746.203017348,1286087.31466081,1379676.71383019,576511.185504374,1426934.76928385,978123.233163091,731126.767451983,1059936.24014797,1002242.20656707,840033.110178074,1018802.0972834,1087367.9355544,543835.563647712,950423.543077754,56401.5,56401.5,56004.9,55576.8,55122.1,54647.2,54160.4,53670.6,53187.2,52718.8,52272.7,51854.2,51466.4,51110.3,50785.6,50490.7,50220.2,49974.4,49750.7,49546.9,49360.7,49193.8,1002110,1002110,1001520,1000870,1000170,999434,998664,997877,997086,996308,995555,994838,994164,993537,992958,992426,991934,991482,991067,990686,990336,0,0,0,0
57480.1052408897,65304.4845928848,65098.4795375977,64622.1899595097,64027.7956156638,63259.692934951,62301.2230068948,61176.0211392784,59934.054270096,58634.7597119521,57340.5151958013,56114.2748645611,55009.8472031404,54075.9020416038,53348.0424926771,52835.4985271195,52504.7964898794,52287.6313266757,52103.2395359865,51883.6025363419,51589.5188054578,51227.7483869092,867910,691283.20376098,1612033.76064587,1266721.76178241,845392.973113694,1401976.0608808,1007749.8796395,642870.892308339,580360.237137179,1243343.00140841,878189.189587304,1057201.24359502,751309.30539597,1404379.53101178,795498.29112547,1071793.11692353,780580.333733208,967802.590600614,894191.933795659,1144703.80573618,1372195.54142512,52348.2,52348.2,51951.7,51523.5,51068.8,50594.1,50107.5,49618,49135,48667.1,48221.5,47803.5,47416.1,47060.3,46735.8,46441.1,46170.4,45924.4,45700.6,45496.6,45310.3,45143.1,930092,930092,929500,928853,928154,927412,926638,925846,925050,924266,923506,922781,922099,921463,920876,920336,919835,919375,918952,918564,918206,0,0,0,0
57480.1052408897,64795.5485225805,64116.3085750368,63001.3551687998,61736.8511452239,60409.5739232706,59106.2936386007,57899.0018677012,56831.0960682525,55918.2365970921,55153.1326127497,54515.9260728069,53974.9136301914,53493.5998122402,53047.7146338364,52633.0535692254,52271.2811628131,52004.1554909884,51877.5247467512,51926.3998979007,52161.0535886043,52554.6879939271,839305,722182.924678329,1307171.23689875,756118.896195222,735564.472259113,1100004.7607989,813271.0374315,1057464.03951173,1681519.68173634,1217462.55060815,1732960.48952434,1078326.47079054,814149.252107218,719440.980140359,658716.309133028,1335877.06284444,728869.43608983,832087.477088284,937774.002561291,1085451.59113564,1591064.88177144,53136,53136,52739.4,52311.3,51856.5,51381.8,50895.1,50405.6,49922.5,49454.5,49008.8,48590.7,48203.2,47847.4,47522.8,47228,46957.6,46711.9,46488.4,46284.6,46098.3,45931.2,944088,944088,943496,942849,942150,941409,940636,939845,939050,938267,937508,936785,936105,935471,934886,934347,933848,933391,932970,932584,932228,0,0,0,0
57480.1052408897,62045.4942048807,62139.6231713657,61899.9433488594,61598.6982573596,61273.0384127368,60939.3766018024,60595.9226945479,60226.9891312145,59811.1879820924,59335.0828195836,58799.3011548739,58220.0564717764,57610.708204532,56971.6022684049,56289.0916317746,55551.3112724415,54756.8413411754,53917.8419162484,53062.3970589642,52229.0720116345,51467.99554494,1353922,1028933.22419439,978843.713707697,783639.287029215,1209462.12153756,966034.5110983,536416.590700855,1125154.62428406,689011.70150577,665498.6312212,1192256.08904921,794867.031477636,1278222.06460456,847522.367407053,1404501.08384723,1593261.82535844,858271.147146872,937011.106780267,772666.526277952,562402.625831881,664038.986719226,50982.1,50982.1,50585.5,50157.4,49702.7,49228,48741.5,48252.1,47769.3,47301.6,46856.2,46438.4,46051.1,45695.5,45371,45076.3,44805.6,44559.5,44335.5,44131.4,43945.1,43777.8,905819,905819,905228,904580,903880,903137,902362,901568,900771,899984,899221,898493,897808,897169,896579,896036,895532,895068,894642,894251,893891,0,0,0,0
57480.1052408897,57393.4507122529,56603.6357384352,55581.0349350399,54639.7074712196,53844.9103051869,53227.8773173867,52777.991067714,52446.5419408505,52169.5587239049,51889.6124996252,51576.1937195465,51226.0712916573,50852.4300854253,50480.4046851058,50143.5310378284,49870.4598874096,49677.8661744509,49579.8165644018,49599.2296309636,49758.4060592869,50066.7787977905,802819,766801.665314977,1137544.14035767,1230431.3265983,783937.493757972,651928.346663233,907924.469751891,1477025.09931933,860514.088369732,926232.038183903,1291823.0627561,1804066.09279,616324.541717351,1246920.96113791,1578392.68626583,847145.387247453,1061544.26380483,634963.58839321,702536.764681203,710845.204769012,932860.850320165,53356.3,53356.3,52959.7,52531.5,52076.8,51602.1,51115.4,50625.8,50142.7,49674.7,49229,48810.9,48423.3,48067.5,47742.9,47448.1,47177.6,46931.8,46708.2,46504.4,46318.2,46151.1,948001,948001,947410,946763,946064,945323,944551,943760,942965,942182,941424,940701,940021,939388,938803,938265,937767,937309,936889,936503,936147,0,0,0,0
57480.1052408897,64627.6683672919,64459.4946715331,63975.8089621009,63388.3526122799,62705.7525715041,61946.0965209497,61138.7478163989,60318.9101285726,59526.3182908851,58803.2912855346,58180.0173769497,57666.3661335831,57250.1262764943,56904.0955396641,56597.8071572767,56310.2466841989,56032.9638927156,55771.6531504315,55539.8949285567,55346.0717862135,55188.8363340547,988834,1350939.18191149,1028956.70243507,860759.517931308,1076771.93812238,1194248.13736039,929707.433702212,1173607.2638388,1137999.79649341,605738.905255434,1443472.54329957,1387623.88805716,1072803.02997898,780864.682987725,832641.985183037,1382875.16938612,730471.4272043,1488603.90674239,747608.011967678,951289.293271306,615744.996361055,57704.6,57704.6,57308,56879.9,56425.2,55950.3,55463.4,54973.5,54490,54021.4,53575.2,53156.6,52768.6,52412.5,52087.7,51792.8,51522.2,51276.4,51052.9,50849.2,50663.2,50496.5,1025260,1025260,1024670,1024020,1023330,1022590,1021820,1021030,1020240,1019470,1018720,1018000,1017330,1016710,1016130,1015600,1015110,1014660,1014250,1013870,1013520,0,0,0,0
57480.1052408897,64866.8812332153,63914.8271468093,62718.0231597487,61579.7743841788,60595.5573234479,59859.1335193721,59438.82558563,59356.8910072555,59591.9524528149,60095.6395877539,60796.4968571098,61601.6926130803,62402.5432530399,63088.2088503879,63573.9616165416,63814.8095076703,63794.8800307935,63509.8248937329,62953.6313908099,62129.3904805826,61071.6143495992,1490287,1332449.32848587,790837.736470226,1235016.24604194,1798420.10812399,1111363.84220245,1362998.53838237,786287.165426823,641035.986601973,767849.461113809,882987.359594025,752186.539785923,1254205.83328712,813888.503582635,1286277.63614764,954152.589689073,1263643.22379208,742305.588174299,840038.437060769,672146.148346325,1041507.56703015,57901.4,57901.4,57504.9,57076.7,56622,56147.1,55660.2,55170.3,54686.7,54218.2,53772,53353.3,52965.3,52609.1,52284.3,51989.4,51718.7,51472.5,51248.6,51044.7,50858.6,50691.9,1028760,1028760,1028170,1027520,1026820,1026090,1025320,1024530,1023740,1022970,1022220,1021500,1020830,1020210,1019630,1019100,1018610,1018160,1017750,1017370,1017020,0,0,0,0
57480.1052408897,58631.9616057703,58365.9025346568,57879.8936317955,57378.2184378518,56842.969044339,56258.3510524092,55625.4673998455,54962.8660911865,54302.152151852,53679.6420214423,53127.9969883835,52667.0469413383,52298.9494551447,52009.3831090523,51781.1043640848,51600.5728362308,51461.3758938143,51364.1375650363,51308.4409412076,51279.9695726656,51250.4131584262,1243536,1050998.14472734,704361.450059558,1328830.77154341,554386.260111198,849657.594457523,1576457.62244998,1203371.28061437,1023315.85702493,1070963.69384099,562390.160545187,780192.481842521,1016591.95502984,906616.369070276,1556226.10841888,1154841.22285827,1039789.48311777,1254744.12914336,909180.417295631,830731.126082159,857101.883954339,52297.7,52297.7,51901.1,51473,51018.2,50543.5,50056.9,49567.5,49084.4,48616.6,48171,47753,47365.6,47009.8,46685.3,46390.6,46120,45874.1,45650.2,45446.1,45259.7,45092.5,929194,929194,928602,927955,927256,926514,925740,924948,924152,923367,922607,921882,921200,920565,919977,919437,918936,918476,918053,917664,917307,0,0,0,0
