OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,OM_rec_R1_1990,OM_rec_R1_1991,OM_rec_R1_1992,OM_rec_R1_1993,OM_rec_R1_1994,OM_rec_R1_1995,OM_rec_R1_1996,OM_rec_R1_1997,OM_rec_R1_1998,OM_rec_R1_1999,OM_rec_R1_2000,OM_rec_R1_2001,OM_rec_R1_2002,OM_rec_R1_2003,OM_rec_R1_2004,OM_rec_R1_2005,OM_rec_R1_2006,OM_rec_R1_2007,OM_rec_R1_2008,OM_rec_R1_2009,OM_rec_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010,AM_rec_1990,AM_rec_1991,AM_rec_1992,AM_rec_1993,AM_rec_1994,AM_rec_1995,AM_rec_1996,AM_rec_1997,AM_rec_1998,AM_rec_1999,AM_rec_2000,AM_rec_2001,AM_rec_2002,AM_rec_2003,AM_rec_2004,AM_rec_2005,AM_rec_2006,AM_rec_2007,AM_rec_2008,AM_rec_2009,AM_rec_2010,SelLL_P1,SelLL_P2,SelLL_P3,Starting_AM_B0
57480.1052408897,56503.6827149403,56740.6764507283,56784.0260511606,56854.1949215296,56985.8139650252,57212.3514659721,57539.6518358073,57939.9510034539,58353.5363048941,58698.8425759203,58891.6648674529,58875.4904640288,58647.3612958905,58251.5779558416,57758.5270178114,57241.4695048123,56752.7585432729,56310.3156993808,55898.5181681633,55481.1514807899,55017.9475962439,1029425,976218.537957295,1048647.83607815,428978.2536523,1872740.4943416,854982.271040372,1227836.0669708,912605.433173013,1081368.30127198,932943.419740275,1013877.63814079,1054406.02890419,893002.028688785,597353.529615979,854333.922699573,628832.019820049,1121104.35467844,1196177.29501691,1134997.97784912,896891.435438309,671014.441320193,54369.5,54369.5,53972.9,53544.8,53090,52615.3,52128.5,51638.9,51155.7,50687.5,50241.7,49823.4,49435.8,49079.9,48755.3,48460.4,48189.8,47943.8,47720.1,47516.1,47329.9,47162.9,966004,966004,965413,964766,964068,963327,962556,961766,960973,960192,959435,958714,958036,957405,956822,956287,955790,955334,954916,954531,954177,0,0,0,0
57480.1052408897,59470.1113595063,59257.6761134589,58810.1736706011,58394.5564119767,58048.9554561816,57799.1373758417,57662.433106479,57638.7294365037,57702.871337189,57811.8534801261,57920.4524876184,57990.6784487997,57990.0829807818,57896.0916151,57700.5566185502,57411.2245857203,57048.1835290318,56629.4928353778,56160.724068323,55633.3061805298,55035.8424818557,1256652,710514.295766725,1018618.06691516,1335216.2628068,614414.439731827,1502879.1743893,1062362.28846926,817124.747052209,1065437.67073084,931340.353960317,1082505.9280178,985036.226684749,556374.438099783,766595.482247765,903745.657257563,716531.283160144,1346922.76623301,1153251.4237103,1035622.21319998,1153566.12555539,538604.853293448,55747.7,55747.7,55351.1,54923,54468.2,53993.4,53506.6,53016.9,52533.5,52065.2,51619.2,51200.8,50813,50457,50132.3,49837.4,49566.8,49320.8,49097.1,48893.2,48707,48540.1,990491,990491,989900,989253,988556,987817,987046,986258,985467,984687,983933,983215,982540,981911,981331,980798,980304,979851,979435,979053,978702,0,0,0,0
57480.1052408897,54565.8710229431,54300.5310697799,53996.5113581082,53833.2051910654,53769.1537778041,53745.4007929218,53710.6676266228,53641.9571021136,53545.60028338,53442.6672281951,53345.9091506676,53248.5689326927,53129.8510936656,52966.1919392435,52736.2701176873,52418.7858756841,51998.0050051371,51478.8639331501,50896.413055494,50306.0971117813,49764.3524123802,720357,1167351.37972488,1394082.73683427,1223874.24805917,556859.338512919,686240.749788733,806877.977227348,1023707.6247246,764075.58718859,1119602.78296885,1077335.44351708,891688.088465509,867485.95781354,730187.356562535,806101.264032172,1805851.04220063,753191.864740282,1162841.55729794,1330330.26902446,872170.904424121,939057.095013544,53165.8,53165.8,52769.2,52341.1,51886.3,51411.6,50924.9,50435.4,49952.3,49484.3,49038.6,48620.5,48233,47877.2,47552.6,47257.8,46987.1,46741.2,46517.4,46313.5,46127.2,45960.1,944617,944617,944026,943379,942680,941939,941166,940375,939580,938797,938039,937315,936635,936001,935416,934878,934378,933920,933499,933112,932757,0,0,0,0
57480.1052408897,60973.5502411081,61253.5828877119,61445.3159434587,61725.7489077118,62077.5679472062,62467.067986337,62841.4113732508,63142.389592683,63325.3675925033,63364.9803030789,63253.2567752461,63003.648833473,62649.3754488439,62241.3052038979,61828.0441436306,61446.2541557259,61124.3374745052,60880.8375322066,60716.8990416025,60611.7528185543,60524.4361323999,1454225,976184.97643819,1328070.71088259,881708.867885652,727271.722283942,1708294.31726354,1297958.2985896,1019553.02120576,1496550.53128496,877965.087317193,1043850.93670045,1417544.01215155,1152125.86424224,1086519.34061453,956839.823042495,962030.030783685,962660.995270617,876905.648892261,1002282.34291179,1116187.12231313,901451.862248096,60994.5,60994.5,60597.9,60169.8,59715,59240.1,58753,58262.9,57779.1,57310.2,56863.7,56444.7,56056.4,55700.1,55375.2,55080.2,54809.6,54563.8,54340.3,54136.6,53950.9,53784.3,1083710,1083710,1083120,1082480,1081780,1081040,1080280,1079500,1078710,1077940,1077190,1076480,1075820,1075200,1074630,1074100,1073620,1073170,1072770,1072390,1072050,0,0,0,0
57480.1052408897,64660.3891206275,64273.2171211929,63524.4653840721,62622.2204191784,61577.1279647808,60428.884704696,59234.9246060803,58058.4932137713,56952.2656462723,55956.9405423119,55102.3825767895,54406.0306378376,53874.6604897605,53515.4421484806,53327.0221482861,53286.007638472,53332.2283715001,53385.1482709404,53378.6324477547,53291.0744768648,53146.4714002,935684,651171.403151456,1281845.28024692,1840011.20220337,1335731.16944017,858533.232074102,712434.917456439,846859.023428366,931402.814148957,1022619.80392078,1589677.53750734,797885.228613987,1244132.48878714,729143.463931884,983756.096189079,1256479.29189548,674514.338258405,1324872.93977467,1031664.67535623,661912.02265968,1372797.08658312,51246,51246,50849.4,50421.3,49966.5,49491.8,49005.3,48515.9,48033,47565.3,47119.9,46702,46314.7,45959.1,45634.6,45339.9,45069.3,44823.3,44599.4,44395.4,44209,44041.8,910507,910507,909916,909268,908569,907826,907051,906258,905460,904674,903911,903184,902500,901862,901272,900730,900226,899763,899338,898948,898588,0,0,0,0
57480.1052408897,66308.2943876815,66356.2092106927,66334.0419359563,66368.9152643216,66392.1365883659,66360.6424802436,66265.1069466648,66122.6394856454,65954.6468755982,65770.0709271019,65554.0114930162,65275.8017183267,64905.8449208383,64426.5139206729,63838.1045064152,63163.7351137905,62445.8153946961,61733.4154229669,61057.709128638,60417.295900821,59783.8638247599,1438153,1271949.58279526,859997.800304569,749830.117014762,1057468.2046078,1195334.32730316,1386896.37145774,1236372.55547098,892779.117101406,1050970.25618682,1042956.64080551,1111660.97845117,720715.646644116,768584.464750209,1258476.20761648,1557765.43713529,748601.293299908,717712.769596662,694071.773396694,703031.434718566,1332669.87616931,53818.2,53818.2,53421.6,52993.5,52538.7,52064,51577.3,51087.7,50604.5,50136.4,49690.7,49272.5,48884.9,48529,48204.4,47909.6,47639,47393,47169.1,46965.1,46778.8,46611.7,956209,956209,955617,954970,954272,953531,952759,951969,951175,950393,949635,948913,948234,947602,947018,946481,945983,945526,945107,944721,944366,0,0,0,0
57480.1052408897,56021.8424884377,55939.3194868809,55702.6468269812,55510.158001788,55374.6613904054,55334.25578453,55444.1685768526,55750.2835116763,56264.4949086943,56959.5877107836,57773.6898503189,58619.4551892303,59394.2326133408,60000.3096048027,60371.193454733,60485.4894677266,60364.8741986451,60065.3209691916,59658.2529352169,59207.7314741891,58757.8440417754,1133274,1317540.76778248,973641.41952439,1396173.56949424,841700.341143097,709782.347759877,1471504.2226558,977972.519512082,920809.864597859,977362.598289774,1633437.27268815,880194.211430212,1030399.75678109,957993.420043323,1361999.8647348,1132934.52786625,567934.622261876,538197.988081452,911527.596941576,1566251.31386244,607768.112883134,62668.6,62668.6,62272,61843.9,61389.1,60914.2,60427,59936.8,59452.8,58983.8,58537.1,58118,57729.6,57373.1,57048.2,56753.2,56482.5,56236.6,56013.2,55809.7,55623.9,55457.5,1113460,1113460,1112870,1112220,1111530,1110790,1110030,1109240,1108460,1107690,1106950,1106240,1105580,1104960,1104390,1103870,1103390,1102940,1102540,1102170,1101830,0,0,0,0
57480.1052408897,59752.2707124252,59676.93915615,59397.9706944851,59068.6459986198,58639.2848386356,58076.6114367181,57383.5634140901,56606.5525316088,55821.9033884973,55108.3246873446,54522.8253179036,54091.4824867349,53796.4207539185,53586.9572628373,53400.7149958933,53193.1529201617,52959.4987760181,52734.8553220823,52592.2371800082,52624.3765995144,52913.9993255457,1129364,1426858.00467822,912428.565386051,962496.353147257,1060141.50447904,632306.524643498,622914.145236993,1179283.2233453,1163964.90504587,1238543.67485629,1097227.53828864,1682705.83662845,1103131.93317724,2415917.52207945,1321256.01569733,1171756.90345387,1252725.90928916,836576.88520892,1082213.59088982,1178037.52626583,915507.664096771,53254.4,53254.4,52857.8,52429.7,51975,51500.2,51013.5,50524,50040.9,49572.9,49127.2,48709.1,48321.6,47965.7,47641.2,47346.4,47075.8,46829.9,46606.3,46402.6,46216.6,46049.5,946192,946192,945601,944953,944255,943514,942741,941950,941155,940372,939614,938891,938211,937577,936992,936454,935955,935497,935077,934690,934335,0,0,0,0
57480.1052408897,58240.0359330787,57976.5328148256,57517.5676981947,57104.4853146666,56768.3267880615,56535.3619670996,56412.4358473308,56376.199104818,56378.2380148287,56369.9256332555,56326.2623026564,56245.940809258,56142.8934583949,56035.9971991969,55945.5357981066,55882.8275623046,55838.2209999163,55786.2657619788,55696.5046854324,55548.7267973295,55336.0401918812,1018593,854164.264177051,1098945.84952803,1476100.22562797,1199331.13454137,935866.393556288,998534.034030902,1107662.65635681,1181740.07304182,994336.273148583,994448.464520403,1045829.79702794,1044690.75348168,686127.032223772,843563.885320327,1039790.1771573,1466559.89385416,1073604.28631569,965903.867222742,887817.16719284,680299.615792844,53496.2,53496.2,53099.6,52671.5,52216.7,51742,51255.3,50765.7,50282.6,49814.6,49368.9,48950.7,48563.1,48207.3,47882.7,47587.9,47317.3,47071.4,46847.6,46643.6,46457.4,46290.3,950488,950488,949897,949249,948551,947810,947037,946247,945452,944670,943912,943189,942509,941877,941292,940755,940256,939798,939378,938992,938637,0,0,0,0
57480.1052408897,64590.5346221078,64548.2576702246,64190.301324613,63724.7775587401,63149.6140057004,62466.9154505346,61683.7184533098,60814.5099385641,59882.9193918973,58925.1144393237,57988.0221012558,57133.1616915576,56422.8799971669,55912.2624109539,55634.4494887723,55582.4759640284,55708.2982469295,55933.0807118372,56168.4328044873,56338.6359391308,56401.2624778117,1021432,934531.771992255,986810.34657712,1578906.17632203,1003343.81179365,1354914.89685752,1507114.45973153,1468193.49584913,679693.235353901,711167.573145302,826723.195028079,616665.173689737,1584639.55606972,2048566.76378408,775543.65793754,1050088.15361393,1039106.3437215,1223449.0089825,1645217.09162245,1365581.43742578,964148.079854903,52813.8,52813.8,52417.2,51989.1,51534.4,51059.6,50573,50083.5,49600.4,49132.5,48686.9,48268.8,47881.3,47525.5,47201,46906.2,46635.6,46389.6,46165.6,45961.4,45775.1,45608,938364,938364,937772,937125,936426,935685,934912,934120,933325,932541,931782,931058,930377,929742,929156,928617,928117,927658,927236,926848,926492,0,0,0,0
