OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010
57480.1052408897,51847.6256184806,51150.2822809889,50579.7107219715,50136.5083781134,49796.1927939444,49514.8262081135,49245.3532067955,48946.4963847002,48589.2018979046,48162.5265562252,47674.5534159893,47147.8786789816,46602.8553114724,46049.0827513441,45485.5225676688,44906.0383761545,44312.3520079607,43726.0761276855,43186.5027775596,42736.7242765624,42417.3738356062,57232.6,57232.6,56836,56407.9,55953.2,55478.3,54991.5,54501.6,54018.1,53549.6,53103.4,52684.9,52296.9,51940.8,51616,51321.2,51050.3,50804.3,50580.7,50377.3,50191.9,50025.3
57480.1052408897,57705.968049075,57665.4187157698,57574.0854435688,57404.5353484426,57148.5405535278,56821.5176711727,56457.4498792986,56097.9961103488,55787.2110175323,55557.0699674356,55426.6199405408,55405.684725386,55498.9088792309,55709.4645558338,56037.8046505397,56474.6620419192,56996.2504584287,57563.6788422677,58146.0387065307,58732.2969352566,59326.1164735855,73095.4,73095.4,72698.8,72270.7,71815.9,71340.7,70853.3,70362.5,69877.8,69408,68960.4,68540.5,68151.5,67794.5,67469.2,67174.1,66903.7,66658.3,66435.4,66232.5,66047.3,65881.4
57480.1052408897,58454.575271569,57467.6832860204,56414.6382208597,55366.4424118125,54374.2804007722,53465.6497363601,52653.0801049249,51943.1001202609,51344.9760671785,50870.4121097866,50522.4808542428,50295.9506334224,50169.2796233891,50117.5309700497,50119.6815861017,50157.1684572742,50203.5406848537,50229.5651530899,50209.2800153998,50125.3686208543,49970.7067477631,61036.2,61036.2,60639.6,60211.5,59756.7,59281.8,58794.8,58304.6,57820.8,57351.9,56905.4,56486.4,56098.1,55741.8,55416.8,55121.9,54851.2,54605.6,54382.1,54178.7,53992.8,53826.3
57480.1052408897,52927.242134343,53007.4068329412,52859.3601543233,52543.7948387363,52131.5747509228,51688.5876795424,51270.9137789707,50914.9143291755,50625.3067217109,50374.1309577539,50121.0752918366,49831.3502743492,49481.6476380591,49071.7630470359,48618.7454718796,48144.0897856344,47666.4128497149,47194.7206246524,46730.847632079,46277.1085534935,45830.8916449056,54680.8,54680.8,54284.2,53856.1,53401.3,52926.6,52439.8,51950.1,51466.9,50998.7,50552.8,50134.5,49746.9,49390.9,49066.3,48771.5,48500.8,48254.9,48031.1,47827.1,47640.8,47473.9
57480.1052408897,55664.2525656501,55443.5041615238,55052.0933762559,54496.3664800994,53812.0301592629,53051.2265533821,52282.3664791904,51572.414830169,50957.2026044673,50431.8117503125,49957.5312768958,49486.0482382631,48986.3531874872,48452.9111925229,47905.8003069239,47378.0559219935,46894.9210699249,46470.2469184036,46098.9657123475,45759.7031194329,45434.8257573117,59713.2,59713.2,59316.6,58888.5,58433.8,57958.9,57471.9,56981.8,56498.1,56029.4,55582.9,55164.1,54776,54419.7,54094.8,53799.9,53529.3,53283.4,53059.9,52856.3,52670.5,52504
57480.1052408897,53709.9810111867,52934.1054104747,52169.1879902871,51487.8301634722,50951.6132489952,50602.0682950615,50454.5454424755,50491.8718206681,50663.4834398495,50885.1562218092,51053.4506382663,51072.7824080636,50882.3051527665,50470.124619534,49873.9026022238,49163.882764396,48424.6340391156,47739.7783339897,47176.7321953532,46772.5486101552,46526.4506825718,57630.7,57630.7,57234.1,56805.9,56351.2,55876.3,55389.5,54899.6,54416,53947.5,53501.3,53082.7,52694.7,52338.5,52013.8,51718.9,51448.3,51202.6,50979.2,50775.6,50589.7,50423
57480.1052408897,52374.4264949017,52075.1845886344,51675.2374958076,51229.2188376542,50798.6866646938,50424.356086132,50122.7489901953,49892.4293756119,49725.1700865346,49605.9168492195,49512.6161696995,49408.5378052565,49255.2193709192,49025.0471704096,48715.109061589,48353.3408935982,47992.1769894092,47695.372007846,47530.111577027,47546.5577263676,47765.2193258855,62085.6,62085.6,61689,61260.9,60806.2,60331.2,59844.1,59353.9,58870,58401,57954.4,57535.3,57147,56790.5,56465.6,56170.6,55900.1,55654.5,55431.4,55228.3,55043.1,54876.7
57480.1052408897,56120.655481181,55073.7795067734,54126.2824585723,53326.9822741851,52704.9141307014,52259.0753987701,51953.6979024965,51734.2089453193,51558.4991360392,51407.3330460589,51282.0179823605,51204.515064711,51202.6954496989,51285.3756458387,51436.5046167642,51622.8015846149,51813.1997447559,51991.6026193661,52152.256272818,52289.6990619211,52387.2272945984,65722.7,65722.7,65326.1,64898,64443.2,63968.2,63481,62990.6,62506.4,62037.1,61590.1,61170.7,60782.1,60425.5,60100.4,59805.4,59535,59289.5,59066.3,58863.1,58677.4,58511.1
57480.1052408897,54086.8350497239,53607.8190672874,53068.8493765406,52474.4815457074,51832.8620998773,51155.8626594827,50467.3651504842,49807.6570721015,49223.9375213491,48751.0662723218,48402.9116479159,48168.6430884548,48026.434392106,47961.7754642392,47979.5685439202,48077.9677819161,48232.3258632617,48399.2633106546,48520.7658621854,48547.7372706819,48449.240659004,57162,57162,56765.4,56337.2,55882.5,55407.7,54920.8,54430.9,53947.4,53478.9,53032.8,52614.2,52226.3,51870.2,51545.4,51250.5,50980.1,50734.2,50510.3,50306.4,50120.2,49953.5
57480.1052408897,51415.6729867781,51592.2200901728,51562.4855448379,51333.2339077635,50964.5115642793,50536.2812664929,50122.3650864077,49782.1126825719,49548.3130656273,49429.8404271858,49415.3499354333,49482.3821523395,49613.7944717424,49804.8643453505,50054.0784214924,50356.806441064,50708.5336393714,51100.830192608,51518.166985601,51935.8890898916,52326.9111570779,63246,63246,62849.4,62421.3,61966.5,61491.6,61004.4,60514.2,60030.1,59561.1,59114.3,58695.1,58306.7,57950.2,57625.2,57330.2,57059.8,56814.1,56590.8,56387.6,56202,56035.6
