OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,OM_rec_R1_1990,OM_rec_R1_1991,OM_rec_R1_1992,OM_rec_R1_1993,OM_rec_R1_1994,OM_rec_R1_1995,OM_rec_R1_1996,OM_rec_R1_1997,OM_rec_R1_1998,OM_rec_R1_1999,OM_rec_R1_2000,OM_rec_R1_2001,OM_rec_R1_2002,OM_rec_R1_2003,OM_rec_R1_2004,OM_rec_R1_2005,OM_rec_R1_2006,OM_rec_R1_2007,OM_rec_R1_2008,OM_rec_R1_2009,OM_rec_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010,AM_rec_1990,AM_rec_1991,AM_rec_1992,AM_rec_1993,AM_rec_1994,AM_rec_1995,AM_rec_1996,AM_rec_1997,AM_rec_1998,AM_rec_1999,AM_rec_2000,AM_rec_2001,AM_rec_2002,AM_rec_2003,AM_rec_2004,AM_rec_2005,AM_rec_2006,AM_rec_2007,AM_rec_2008,AM_rec_2009,AM_rec_2010,SelLL_P1,SelLL_P2,SelLL_P3,Starting_AM_B0
203149.113743228,202888.472704926,202713.304116773,200470.706887197,198012.183099923,195913.616602943,193439.935163176,193966.653909868,195552.650058164,198990.77585837,200871.344163051,201961.057222725,201655.795203935,200737.404362937,199781.004359796,196197.377334265,194042.745638761,191680.704941136,190380.87572806,187095.39950489,184937.027108579,183320.163493414,7967371,27224732.8214156,19250665.6945275,8935348.8660887,24999015.9890509,15574886.2743164,15934697.3058011,10699111.944479,24043067.4138533,12777486.9806627,34446864.2353772,11632174.3749202,8188619.15247729,24329944.4425404,34067414.8800811,17854031.4150514,16752354.2660299,6444543.04183654,10427794.6315744,6432892.09768406,12000817.5302638,282170,282170,280767,277388,273674,269653,265392,260977,256508,252079,247779,243677,239810,236192,232824,229699,226807,224135,221673,219406,217322,215411,20455000,20455000,20444000,20417200,20387100,20353700,20317300,20278500,20238000,20196600,20155200,20114500,20075000,20037000,20000800,19966300,19933600,19902800,19873800,19846700,19821300,0,0,0,0
203149.113743228,231248.945673026,228111.378197719,222326.580120665,216200.116420578,211902.313307123,209234.368416638,205277.402706255,201053.02314665,196248.807905517,191945.597071576,190814.763326811,189074.181082592,193137.612445686,197179.331230215,202190.932227901,205401.500396572,204819.99233489,202653.188632318,195762.594790542,191774.345044896,186853.081336339,17957616,45414402.1921824,13771702.6650119,26959340.8589189,11405028.2577073,9160766.9417416,7184918.69222834,7285750.31351152,30964073.3265375,16014750.6143399,20910472.6757404,10699154.5832029,13697438.5072821,21802517.9287447,14796542.9422412,18208573.5881938,8586608.20778605,5678658.85954774,15771592.0223361,15945712.2944824,14807295.4916081,291781,291781,290378,286999,283285,279264,275001,270585,266112,261680,257377,253271,249402,245782,242413,239287,236395,233724,231263,228998,226917,225009,21151700,21151700,21140700,21114000,21083900,21050600,21014300,20975600,20935300,20894200,20853000,20812600,20773500,20735900,20700000,20665900,20633700,20603300,20574800,20548100,20523100,0,0,0,0
203149.113743228,253609.168083411,256181.057095491,256816.588651821,257663.448129377,255145.796793126,251483.078281926,248776.707947051,245320.495746939,241135.178134801,234669.307131555,229508.635296823,224079.575670906,218383.61350992,214084.012527236,210195.965175529,206764.537369273,202175.314158256,197271.51699565,192676.64554856,187476.423850697,182365.053755845,19851872,16352570.8026928,17541708.4483749,15571414.3967606,14229096.1198789,17284159.720364,18178898.0405766,17457605.4180964,9755208.51763749,12638654.5074294,13582773.3290869,18735761.6378423,24302520.4245924,7492628.6522175,18269922.7049249,6971270.90893245,13067544.3008896,24397165.4348182,11376436.4654812,26991616.3945326,5223436.26753625,249338,249338,247935,244556,240841,236823,232566,228160,223702,219287,215002,210913,207057,203447,200085,196962,194068,191393,188924,186649,184555,182632,18074900,18074900,18064000,18037100,18006900,17973200,17936300,17896900,17855700,17813400,17770800,17728900,17687900,17648400,17610500,17574200,17539700,17507000,17476200,17447100,17419800,0,0,0,0
203149.113743228,184516.265341803,184808.072810578,185050.820846273,184420.181593673,183153.669637438,181058.970482943,179407.410886765,176226.362753978,170437.460190611,165309.004848557,159749.660311102,154086.679345473,149002.554202461,146276.428447842,144332.09123493,142506.55375858,142112.773849516,143398.767220263,143694.360815872,141913.665675397,139047.366838719,6084429,14760271.752433,24505707.2029381,14159015.6726978,12906443.1001962,24121905.3730175,21479386.3033333,8812343.49848883,6409468.51285233,4861462.9015003,15309536.6179902,21740345.7453146,16684515.2631033,63641581.654222,17853518.490437,11579322.2941192,25229059.1047795,5987050.06471337,47016662.5422946,13890548.8739095,25393284.016884,205908,205908,204505,201125,197410,193395,189147,184756,180319,175929,171671,167607,163773,160180,156828,153710,150816,148136,145657,143367,141255,139309,14926600,14926600,14915600,14888600,14858100,14823800,14786200,14745700,14703000,14658900,14614300,14569900,14526200,14483600,14442300,14402600,14364400,14327900,14293100,14260100,14228800,0,0,0,0
203149.113743228,193627.158145917,198463.554197207,200100.797174654,199997.639365247,198692.168827433,196377.358050026,192271.152868107,186991.540674188,182001.225392699,175950.766930409,169805.411464271,165153.059108613,160499.024701249,155314.260987917,150720.603557294,151349.90526171,154844.93730156,162293.572733438,171706.916620843,182214.815416764,193158.203463124,25435236,11803188.4350882,4250717.61209286,13411104.1632985,38631551.1881581,28043598.1888794,47754099.2817309,27530670.9331318,18736510.7433718,22424976.6415213,18978136.3829477,30993466.8988222,20863177.7120888,23808929.1311177,12387942.8349079,33761132.4414794,20073517.3355079,8999241.25089913,14751367.4445647,22182597.5040709,7717564.20688981,297516,297516,296113,292734,289020,284999,280736,276318,271844,267410,263105,258997,255126,251505,248135,245009,242117,239448,236988,234724,232645,230739,21567400,21567400,21556500,21529700,21499700,21466400,21430200,21391600,21351400,21310400,21269400,21229100,21190200,21152800,21117200,21083300,21051300,21021200,20992900,20966500,20941800,0,0,0,0
203149.113743228,205127.534643459,205012.976932272,200505.482339589,196576.885673564,193684.599077667,189511.672886616,183296.716745225,178076.569256089,173963.214531923,168996.053547587,165604.563074308,162522.440415325,159806.364618311,158686.716270783,157337.546373386,155242.257061064,153118.7385502,150763.634733794,148585.885943299,145597.074111064,142701.231718142,11244805,10617256.7448043,24841157.0295662,17305403.8016891,6339264.28931914,21562978.977553,8642897.78334701,11881665.8969522,15102394.0218997,13328344.7642945,19960634.7248516,22228259.6422201,30286658.144265,22548189.3260884,12408915.4402177,16666248.2662367,34462054.9067578,13825670.3013617,11431803.9264972,11546880.2440047,4510279.44455447,215154,215154,213751,210372,206657,202641,198391,193996,189553,185157,180892,176822,172982,169385,166030,162911,160017,157338,154862,152576,150468,148528,15596900,15596900,15585900,15559000,15528400,15494300,15456900,15416700,15374400,15330700,15286600,15242800,15199800,15158000,15117600,15078800,15041600,15006000,14972300,14940300,14910100,0,0,0,0
203149.113743228,232334.354651917,232646.420051593,231135.648312062,231168.1733035,232566.793974247,235563.150300491,237502.56261983,236481.847319734,234231.905405727,229389.507151393,224166.976570379,218532.611407568,211984.725642953,206718.687758986,201989.157231522,196389.264666606,191574.438238504,186725.298023879,184242.986705503,181703.806197458,179219.612220721,21791931,8913926.17081205,15247800.4650268,14314598.3866084,9660624.85241054,24397787.8155651,16584242.383268,22790193.6776295,12816794.5114113,12794047.3957153,21463300.6444912,30480651.4732342,15009214.7168035,71833574.4736385,22371703.5516529,15875781.6566328,23864925.6189856,22030856.772455,18152680.4423702,7645504.37362925,22064873.8940122,244214,244214,242811,239432,235717,231699,227443,223038,218582,214170,209887,205801,201947,198339,194977,191855,188961,186286,183816,181540,179444,177518,17703500,17703500,17692500,17665700,17635400,17601600,17564700,17525200,17483800,17441300,17398600,17356400,17315200,17275400,17237100,17200500,17165700,17132600,17101400,17072000,17044300,0,0,0,0
203149.113743228,222337.12879609,225144.121953192,225535.657391273,224011.963518105,220009.932085558,214540.471717003,207624.277921855,201188.88739512,199696.587454583,198486.542530997,197584.296919286,197031.613326426,196587.94480439,196908.431640285,193854.880224866,190701.689045021,187433.234801165,185674.772904735,183137.025982755,179435.608218493,175773.806194703,13658984,14264910.3937105,22453938.2782928,15209094.9722562,16242520.2326255,16093926.7061013,25059976.49877,8991834.39865754,13029267.1774503,13829364.7593624,19841841.9788054,13062619.7163142,10799304.9262424,22730709.8555426,9658374.3720857,12120350.7330304,9387548.73959006,28603544.5215381,31817796.1448098,23439494.7626846,7637611.57497364,242784,242784,241381,238002,234287,230269,226013,221609,217154,212742,208460,204374,200521,196914,193552,190430,187536,184860,182390,180113,178017,176090,17599800,17599800,17588800,17562000,17531700,17497900,17461000,17421400,17380000,17337500,17294700,17252400,17211100,17171200,17132900,17096200,17061300,17028100,16996800,16967200,16939500,0,0,0,0
203149.113743228,251470.538066832,258972.938172175,266826.906322198,271849.373624702,273363.864571751,270936.202155442,267908.001645699,264690.036510147,258054.726688362,251710.818999602,245598.580345777,241915.169510403,237666.737503172,233403.800083285,229389.203355584,225144.943275683,219898.460281856,212186.195980319,203917.214389631,194941.512081895,186738.955186754,33710812,14015034.7577227,23193783.654601,11015749.0933286,17706208.4671723,10324207.5183269,13837203.8564242,9913956.05564894,11194926.2233506,11198551.0989507,8978997.03456592,42292059.0211895,17180149.3980787,26762216.6739161,38005863.6448674,6994300.54078153,14264703.9428816,14495932.2566506,21431587.7573863,8256808.96543791,11676946.6901625,252580,252580,251178,247798,244084,240065,235808,231401,226941,222525,218238,214147,210290,206680,203317,200193,197300,194625,192157,189883,187790,185868,18310000,18310000,18299000,18272200,18241900,18208300,18171500,18132100,18091000,18048800,18006400,17964500,17923800,17884400,17846600,17810600,17776300,17743800,17713200,17684300,17657200,0,0,0,0
203149.113743228,230987.146886031,225036.244787997,215228.182689263,206134.348805914,198918.021634779,192902.787067877,187570.286236549,181161.79516055,175282.129757482,168816.842858381,162579.085604222,157183.355761196,152451.007298477,147755.238128747,144090.768249385,141688.254618669,139435.324870165,136041.700012841,131913.916961792,129051.964141128,126193.44593965,15646296,22037931.2674478,7144041.79398033,17754742.1651151,16505864.4032363,12940808.3274098,4675981.04895059,10941681.0854818,15156294.1219133,14172455.6596759,13230265.1875723,27477182.1607945,11340506.5025312,7603692.54491214,19372704.9285709,10286292.2695073,17588321.8479815,8061177.40109254,24263712.6656562,32718104.5458838,11304991.2084915,201475,201475,200073,196693,192978,188963,184716,180327,175893,171506,167252,163191,159360,155769,152418,149301,146408,143727,141247,138955,136841,134892,14605300,14605300,14594300,14567300,14536700,14502400,14464700,14424000,14381200,14336900,14291900,14247200,14203100,14160100,14118400,14078200,14039500,14002500,13967200,13933600,13901700,0,0,0,0
203149.113743228,196803.85934492,197802.134423352,199484.485600631,200404.422799311,200703.004984393,201787.192004414,203634.116457909,200350.838421953,197034.739558284,195129.853208693,194397.803305004,196228.345560724,197500.789546115,199678.519321659,200811.20972734,200249.39588747,197739.058207195,192259.119735749,188019.411024426,182545.117788898,176239.891278841,33564281,16100025.2132106,19336514.0964907,18232097.9327169,11376158.8755478,9384047.1818141,10628916.3329186,22976335.2558081,8651574.52250623,12374750.0311897,6092412.3894934,13909359.4040519,12017087.1870555,43814647.7705531,31377045.4681296,3707043.54382071,24855663.3114756,19923343.7300546,12710327.7050376,20054901.1228454,14235485.2489682,249924,249924,248521,245142,241427,237409,233152,228745,224287,219872,215586,211497,207641,204031,200669,197546,194652,191977,189508,187233,185139,183216,18117400,18117400,18106400,18079600,18049300,18015600,17978800,17939400,17898200,17855900,17813400,17771400,17730500,17691000,17653100,17616900,17582500,17549800,17519000,17489900,17462700,0,0,0,0
203149.113743228,242964.119898445,244648.61056573,243036.062486323,240727.220903111,237780.737905003,234440.404357819,226635.771078204,218374.183920263,210627.934286638,202595.652634954,197039.497941575,190619.987762906,185802.673426694,184110.685122571,182522.823264189,180343.501272933,177394.90385033,175464.725400351,173556.014709378,168374.394924718,164111.440650147,11994702,19133825.7819695,35068161.0684104,13692144.2753098,8379182.16685142,13672135.526274,17593102.7778768,17891787.3428314,8814313.49342986,16556403.5641272,24396822.6981796,17969355.2699424,14132873.9290652,14345882.9475842,9383432.68889247,24090261.7423699,11865307.3831379,11260076.8486585,12686343.2842746,20065710.1044225,17880314.6589499,240783,240783,239380,236001,232286,228268,224013,219609,215155,210744,206463,202378,198526,194919,191558,188436,185542,182866,180396,178118,176021,174094,17454700,17454700,17443800,17416900,17386600,17352800,17315900,17276300,17234800,17192200,17149300,17106900,17065600,17025500,16987100,16950200,16915200,16881900,16850400,16820700,16792800,0,0,0,0
203149.113743228,206029.175292471,201662.140597345,198466.055626395,196009.455715035,194006.381683732,192301.767540964,187874.805038363,183723.304583068,178407.756101535,172330.399255011,166905.022399879,162308.523350971,158376.994387018,154022.120173367,149678.814169477,148288.720715302,148895.806286645,148909.164174364,150474.674073264,154593.766196374,157089.180359514,13940134,10848333.9469917,7372249.69488949,15427949.1513778,27863459.745043,28439300.1696591,7966686.61056575,20198076.9646082,27676364.3199637,5641243.55708544,51798560.5040743,6843850.86797474,14634473.6680834,9690861.16801633,19993591.7319227,14341783.1811369,9474968.79057633,25124253.0129762,44668206.7506643,11535873.1266539,15611058.8811884,241365,241365,239963,236583,232869,228851,224595,220191,215736,211325,207044,202959,199106,195500,192138,189016,186123,183447,180977,178699,176603,174676,17497000,17497000,17486000,17459100,17428800,17395000,17358100,17318500,17277100,17234500,17191600,17149300,17107900,17067900,17029500,16992700,16957700,16924400,16893000,16863400,16835500,0,0,0,0
203149.113743228,255502.140653213,251208.963731175,245040.763155658,238287.977166777,230762.105817421,223076.822250675,215839.961375859,206298.500738499,197040.754071005,191692.786785663,186421.42976363,183861.979918464,183140.30009745,185206.99046658,187496.317283231,188234.996738692,189673.137332904,191330.579383038,191421.371094629,189372.013052643,190314.853631921,27968516,20888217.7180785,29285440.16455,17095179.6192987,17162721.5389685,16982323.2691828,27983331.3649908,9687164.37710549,11607715.6334072,38532481.8623398,11255486.9750935,19474597.1001491,12116480.0433235,10776217.2441516,18703769.3931889,11119435.0473616,12045694.4905733,8579014.92685446,25410342.9053122,28312627.2059746,26335506.0715409,262948,262948,261545,258166,254451,250432,246173,241763,237300,232879,228587,224492,220631,217018,213653,210529,207636,204962,202496,200225,198136,196217,19061500,19061500,19050500,19023700,18993500,18960000,18923300,18884200,18843300,18801400,18759400,18718000,18677700,18638800,18601700,18566200,18532500,18500700,18470700,18442500,18416100,0,0,0,0
203149.113743228,245398.045369725,252294.024178538,258639.572860139,265757.560135122,268409.753503357,270315.626273454,269683.990245905,266172.252609965,260490.763666106,254938.743219686,247923.650819782,243199.849693552,238828.032390411,234467.901226399,229743.81612724,225311.458407354,221833.321232286,215563.61373163,210614.994195475,205035.982198418,201943.141034676,33291228,20005301.8532422,22088680.6490345,6902449.75166116,19041423.0076652,15162555.5935202,13321802.0458086,25757467.2119161,16495786.6946491,26339337.8995501,6260616.08230948,7504668.45098527,6893826.32808458,8430090.24419653,16228211.6802888,20170531.9860894,14530919.2818716,9994304.31737407,25926003.6183819,19263537.0299264,5503337.23765149,271862,271862,270460,267081,263366,259346,255086,250674,246208,241783,237487,233389,229525,225909,222543,219418,216526,213853,211389,209119,207033,205118,19707700,19707700,19696800,19670000,19639800,19606400,19569800,19530900,19490100,19448500,19406800,19365700,19325800,19287400,19250600,19215600,19182500,19151100,19121600,19093900,19068000,0,0,0,0
