OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,OM_rec_R1_1990,OM_rec_R1_1991,OM_rec_R1_1992,OM_rec_R1_1993,OM_rec_R1_1994,OM_rec_R1_1995,OM_rec_R1_1996,OM_rec_R1_1997,OM_rec_R1_1998,OM_rec_R1_1999,OM_rec_R1_2000,OM_rec_R1_2001,OM_rec_R1_2002,OM_rec_R1_2003,OM_rec_R1_2004,OM_rec_R1_2005,OM_rec_R1_2006,OM_rec_R1_2007,OM_rec_R1_2008,OM_rec_R1_2009,OM_rec_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010,AM_rec_1990,AM_rec_1991,AM_rec_1992,AM_rec_1993,AM_rec_1994,AM_rec_1995,AM_rec_1996,AM_rec_1997,AM_rec_1998,AM_rec_1999,AM_rec_2000,AM_rec_2001,AM_rec_2002,AM_rec_2003,AM_rec_2004,AM_rec_2005,AM_rec_2006,AM_rec_2007,AM_rec_2008,AM_rec_2009,AM_rec_2010,SelLL_P1,SelLL_P2,SelLL_P3,Starting_AM_B0
202967.651547297,213590.574868988,212094.130955617,209535.52612742,206028.571152652,203898.110797874,201990.629419552,198907.269705845,195414.66512365,191837.619113248,187531.241501287,182579.682795231,176994.189647209,172799.806567978,169956.308952843,166383.974678138,164144.323312037,161760.274972322,161907.169892327,162144.487903834,162257.687364205,163716.271851098,8942834,20411161.1877684,23361040.2662524,11363734.693331,18283618.0362503,10917044.4974087,24823963.3094066,18294943.4706922,19947505.9102699,21110109.4361848,29825141.8764834,17416677.4399667,16622805.6584524,11156697.0534877,21039555.8900586,14904914.6429376,19805503.6530053,4756771.25996397,13025016.4215001,15534631.1553632,12049917.1635974,263813,263813,262411,259032,255317,251298,247039,242629,238165,233744,229451,225356,221495,217882,214516,211392,208499,205826,203360,201089,199000,197082,19141400,19141400,19130400,19103600,19073400,19039800,19003100,18964000,18923000,18881100,18839100,18797700,18757400,18718600,18681400,18646000,18612300,18580500,18550500,18522300,18495900,0,0,0,0
202967.651547297,199231.708025866,201865.569120039,201469.536793935,201159.112167623,199443.533776207,197482.570810056,193793.618478259,189163.366098906,185265.653390565,181271.685520916,176752.659148888,172434.151191986,168747.969341802,165645.177708703,162998.336497511,161486.104337992,160206.344479794,158831.484705071,157249.118449891,155526.288751893,152276.932778722,13486969,14302051.7111721,16366419.1708088,18719554.7230023,20508625.8318821,16259394.1529503,14642075.4643379,12862752.5023786,15752183.2706259,7057326.99543317,9391941.4649848,14484759.6459598,17712804.5362293,15177947.5401846,13199907.9108426,15920240.1698786,15257124.1921793,14654701.8352107,9686507.30517584,12984446.0075112,24160969.4199594,211043,211043,209640,206261,202546,198530,194281,189888,185448,181054,176792,172725,168888,165292,161939,158820,155926,153246,150769,148481,146371,144428,15312500,15312500,15301600,15274600,15244000,15209800,15172300,15131900,15089400,15045500,15001200,14957000,14913700,14871500,14830700,14791400,14753800,14717800,14683600,14651100,14620400,0,0,0,0
202967.651547297,222987.811604169,219142.769352258,213312.770982335,206848.776629289,199319.422320491,192636.634358748,186440.807388144,179700.16588029,172914.172011166,167176.006953437,164524.656160765,161315.65370037,158870.179166712,156708.812125977,156337.628641775,155496.946679349,153465.255145517,152499.12396491,152466.856611452,153407.742828105,152667.22061617,10262882,16545818.489731,11550530.911525,24509278.1957306,10096224.3554275,17493485.6854839,17769002.7951236,21326784.8259709,19035362.6917139,11590759.2743724,14882428.3020003,9585996.27339241,10262137.980064,18421413.4963417,13429813.9739078,17223029.9384223,20639166.1969533,21821944.2241798,11842658.8006831,17303884.6332345,17578946.7713267,243549,243549,242146,238767,235052,231034,226778,222374,217918,213506,209223,205137,201284,197676,194314,191192,188298,185623,183153,180876,178780,176854,17671000,17671000,17660100,17633200,17602800,17569100,17532100,17492600,17451100,17408600,17365800,17323500,17282200,17242300,17204000,17167300,17132400,17099300,17068000,17038500,17010700,0,0,0,0
202967.651547297,214246.089410257,210787.975355807,205252.614680124,199326.420818952,192773.422237286,185280.441205614,178640.585430087,172949.672576267,167882.02034443,164339.40356911,162415.676759629,161448.164994335,161547.750927846,161406.959760312,161486.222697717,162839.08986804,164699.605922736,166813.549728477,167283.132577016,166772.714787625,166422.130535362,17163324,22542905.1406679,14708481.9326392,15653039.4282803,26522478.9296388,21701741.4248319,19733076.0745218,11759305.9022014,9321322.69464475,17613932.2775169,17971271.5502137,11961614.9317321,18864002.7120656,13248875.9425377,12685631.3928852,10441478.2586203,17667852.4807322,29134399.1470421,12563308.0033212,13644600.6774777,17697855.8299597,259640,259640,258237,254858,251143,247124,242866,238457,233995,229575,225285,221191,217331,213719,210355,207231,204338,201664,199197,196925,194834,192915,18838500,18838500,18827600,18800700,18770500,18736900,18700200,18660900,18619900,18577900,18535700,18494100,18453600,18414600,18377200,18341600,18307700,18275600,18245400,18216900,18190300,0,0,0,0
202967.651547297,227750.138351868,224810.005071124,219533.233188919,213863.264501974,207508.515517439,200608.98442444,194219.943317605,187245.414428898,180831.266481691,175252.304118117,170452.236089358,165104.525553102,161131.670470855,158360.928919166,156179.307133291,154691.107089638,152494.734490182,150934.30390662,148355.552532852,145555.864843232,143103.485730661,7237390,22485954.95403,20156129.3404433,13981666.1492066,19269952.8326568,10143264.6284873,13073845.7781856,12618717.2310346,15514271.7623026,15244077.09208,11702523.8015998,16380179.6543653,13223302.3726086,16005857.5111947,16805639.0528035,15255529.8232157,11577838.8171078,18888721.1299149,8173636.99818968,14596801.4442312,15119434.8969821,206907,206907,205505,202125,198410,194395,190147,185755,181317,176927,172668,168604,164769,161175,157823,154705,151811,149131,146652,144363,142251,140306,15012500,15012500,15001500,14974500,14943900,14909600,14872000,14831500,14788800,14744800,14700100,14655700,14612100,14569500,14528300,14488600,14450600,14414100,14379500,14346500,14315300,0,0,0,0
202967.651547297,226900.155986602,224207.81407501,219044.437351342,214545.633510341,209099.82863132,203312.34660318,197050.956293284,191497.401258206,186115.71777655,180416.099832775,175037.593477796,171501.748664716,169851.498831838,167279.479854774,164683.722522312,162407.721959026,159687.756124442,156156.783633213,152108.351301078,148895.182664225,146024.923960496,22944437,24838923.1173388,11593468.6590268,11608219.3996864,16809904.3782645,8417009.7464446,14249328.7865216,16348123.8228557,16052187.702799,12762659.0232084,14539696.7128312,13614573.0939634,10610031.4914504,13054717.4457624,15763896.8794254,17157634.1538346,20388222.0132024,28869667.9410359,17394135.1351281,9763055.79738931,9863648.47315785,214076,214076,212674,209294,205579,201563,197313,192919,188477,184082,179818,175748,171909,168312,164958,161839,158945,156265,153789,151502,149394,147452,15532600,15532600,15521600,15494700,15464100,15430000,15392500,15352200,15309800,15266100,15221900,15178000,15134800,15092900,15052400,15013400,14976000,14940400,14906500,14874400,14844000,0,0,0,0
202967.651547297,227368.254327147,226545.104593285,223106.164936924,220662.623376105,215916.774430706,211770.492757148,207525.059568098,203312.250810343,199863.28337648,197458.271326951,193806.569698065,189590.402366475,184760.759117197,179998.901929804,175802.752037103,169629.287737787,164958.223337459,160083.668568597,155637.054852748,150693.87626426,144529.422580111,12186834,10818480.6789237,16070749.5118238,18452258.7554777,8953958.52409904,17642549.6811822,11716782.9652735,12475332.7566405,10231547.7905358,6240060.51954347,10349748.0900791,13518348.1930609,13545819.200274,14442542.6446165,8793945.24264327,8031794.93184149,18022740.14669,10928102.1136398,15777388.2165946,12785134.0322646,16228145.1820895,200552,200552,199150,195770,192055,188041,183794,179405,174971,170586,166332,162272,158441,154850,151500,148383,145490,142808,140328,138036,135921,133971,14551400,14551400,14540400,14513400,14482700,14448400,14410600,14369900,14326900,14282500,14237500,14192600,14148500,14105300,14063500,14023100,13984300,13947100,13911700,13877900,13846000,0,0,0,0
202967.651547297,222213.50796767,222379.393424256,218344.253846833,215246.766917887,211422.024297031,207984.334834226,204089.107315472,199676.358602205,195694.880451155,190072.46062395,185546.841473804,182113.118715393,180130.894797702,178955.432577377,178264.473118227,177073.085620326,175170.761762065,172531.598967681,168779.568713504,164727.855919467,161073.143598375,22435277,20386922.2603932,19373130.5574322,16376330.2123041,12012636.3745816,15559997.2715153,15618307.6224908,10300563.3619453,14299046.4560002,17077760.4527162,15500380.277416,11294203.0015199,16228128.958222,16524977.8601951,17636782.0105724,17199255.6288925,17259971.2868413,7814008.9221489,8833956.65843712,13236169.2197236,16248837.408696,230477,230477,229074,225695,221980,217963,213710,209309,204859,200454,196179,192100,188252,184649,181290,178169,175275,172597,170125,167844,165742,163810,16722600,16722600,16711600,16684700,16654300,16620400,16583200,16543300,16501500,16458500,16415100,16372100,16330100,16289400,16250200,16212600,16176700,16142600,16110300,16079700,16050900,0,0,0,0
202967.651547297,190350.938687755,190858.586429926,190884.446199121,189882.573691669,190209.775262414,190075.17063719,187965.345937292,186393.415226973,184272.80754447,181981.611274802,178840.195692787,175700.453513035,172288.321903204,168114.670588401,166139.627403384,165620.804883314,164972.678496268,164688.863156074,167246.087182847,168526.43863729,169682.611265574,12121603,13601976.7453397,15689927.2689061,25317034.9239329,21058187.18505,13312452.2231544,14202697.8595474,33047923.0458663,10150247.4920255,23664606.5955719,14843995.6187688,20369732.0543107,12383688.4874665,10386883.9061573,16128765.3142924,13929178.7036014,16278869.8290859,12114364.5653881,12063474.1513953,11858522.9857046,12729191.6634039,256550,256550,255148,251768,248054,244035,239777,235369,230908,226489,222201,218108,214250,210638,207274,204151,201258,198583,196116,193843,191752,189831,18614400,18614400,18603400,18576600,18546300,18512700,18475900,18436600,18395500,18353400,18311100,18269400,18228800,18189600,18152000,18116200,18082100,18049900,18019400,17990800,17964000,0,0,0,0
202967.651547297,199202.373240332,204928.343968185,207162.355015274,206533.628251838,205641.911771503,204786.177652756,201237.252246916,199458.944990669,197423.625605855,196714.846804493,194362.883795359,190441.751315387,186750.080178112,182901.105449172,179877.831741018,175902.553116582,172845.808141959,169258.837062053,166693.00693328,163377.955595836,159403.609143591,12641901,12325890.4254033,20275508.7989045,18849995.2470581,12496671.5033619,18368378.5384008,8783848.33778272,19687824.7963354,14378798.901619,10868126.5464073,14615405.6329271,10569103.7222602,16167560.3040581,14631327.4011525,26464384.4074788,18509254.2805176,12868185.5837196,12971510.4278534,15697317.2128528,13997156.0559438,11495423.2184028,217176,217176,215774,212394,208679,204663,200412,196017,191573,187176,182910,178838,174997,171399,168044,164924,162031,159351,156875,154590,152483,150543,15757500,15757500,15746600,15719600,15689100,15655000,15617600,15577400,15535100,15491500,15447500,15403700,15360900,15319200,15278900,15240200,15203100,15167800,15134200,15102400,15072400,0,0,0,0
